wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,buy_count,sell_count,buy_shares,sell_shares,sold_share_ratio,buy_usd_weighted_price,sell_usd_weighted_price,sell_minus_buy_price,first_buy_to_first_sell_seconds,last_buy_to_first_sell_seconds,buy_after_sell,same_hour_two_way
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-01,0x31bf1d9e7e12698b15a70e730b9ff59375d738e0208db122c4cdc145381d82a6,30000814479555189046363635944818435596235088570187394878337072555240360461633,YES,29°C,highest-temperature-in-beijing-on-may-1-2026,1,0,20.96,0,0.0,0.08367986641221374,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-01,0x63d53072921981c2c1b65065ea16674fe813169d137a93213873e463811489be,85521127232692924497456285813424597881970659144819498509774543636389020431604,YES,30°C,highest-temperature-in-beijing-on-may-1-2026,1,0,10.05,0,0.0,0.010494527363184078,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-01,0x64d84f9b515a798ec26e75ef12bfade6c76403652f9b20246f48269674c4462d,99564678434606693840093860088175883829868393179520056789442486820258598022186,YES,26°C,highest-temperature-in-beijing-on-may-1-2026,2,9,342.07,342.07,1.0,0.2499803841319028,0.24588996404244748,-0.0040904200894553155,5840,1750,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-01,0xfe5d206613e5ea0c9681335bd38f819fcce0bb6db33899f04adf215ec3d14aaa,3548203461721129920655325079533575881095067529368150143179985837272914359042,YES,25°C,highest-temperature-in-beijing-on-may-1-2026,2,1,493.29,229.56,0.4653652009973849,0.004793995418516491,0.00380083638264506,-0.0009931590358714312,390,-1296,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-02,0x15909f61199742d67ea807f757208e9a637db45fb70051774d452a5461419587,92340627579866178745181525311350866039572224855774603812261652377431803930477,NO,24°C,highest-temperature-in-beijing-on-may-2-2026,18,0,93.556856,0,0.0,0.012128731645278888,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-02,0x15909f61199742d67ea807f757208e9a637db45fb70051774d452a5461419587,95964064301487920869779228082703818241058109178730050503156088317981208834509,YES,24°C,highest-temperature-in-beijing-on-may-2-2026,22,0,168.5,0,0.0,0.8952644510385757,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-02,0x9519d4b167151f59a883213ad98a205621b19f6afdbc9d2720a4421aa961ecd4,29863422689008728892940410795172328467337826368931772666076274433075638569610,YES,25°C,highest-temperature-in-beijing-on-may-2-2026,1,2,16.0,16.0,1.0,0.027789375,0.15909,0.131300625,6298,6298,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-04,0x76ce847af306166d9f5a3a5ce0e74c03cdc45ad54d8cf9b050023ef60eda1310,111448005831755640274080066228614617726447982875487417831896083461119832584448,NO,26°C,highest-temperature-in-beijing-on-may-4-2026,18,0,92.209975,0,0.0,0.02597060675919281,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-04,0x76ce847af306166d9f5a3a5ce0e74c03cdc45ad54d8cf9b050023ef60eda1310,48152388605161274350430977656210792548627271709395788457861185532635731568941,YES,26°C,highest-temperature-in-beijing-on-may-4-2026,18,3,155.92000000000002,63.7,0.40854284248332473,0.7148552462801435,0.95,0.23514475371985644,3732,-2112,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-05,0x146c905ee851102a0d7fb24a1c7328a19eeb6ffac802a222998753c415a64ade,66190869002704856322962274194738014820370536615555082978251660593378232942211,YES,28°C or below,highest-temperature-in-beijing-on-may-5-2026,1,1,1.005,1.0,0.9950248756218907,0.005,0.02855,0.023549999999999998,14160,14160,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-05,0x2e81bb27ba254a3c4b0124bfdef89d71543994c9b5bece0ea18f2b92f3b2aeab,84609510110282858324391019806806492763617130440786253187455430948328380922595,NO,31°C,highest-temperature-in-beijing-on-may-5-2026,1,4,205.0,170.77,0.8330243902439025,0.5839501951219512,0.8106290332025531,0.22667883808060185,4698,4698,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-05,0x2e81bb27ba254a3c4b0124bfdef89d71543994c9b5bece0ea18f2b92f3b2aeab,97330453251716628920627675634974144566478742357841376116445358421286248581493,YES,31°C,highest-temperature-in-beijing-on-may-5-2026,6,1,196.74,162.51,0.8260140286672766,0.13031366270204328,0.0009500953787459235,-0.12936356732329735,22298,2648,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-05,0xa46ba50740fef7f262e1f51c51a9a0804e498b0d6bc40622e9e3a5b60369bec7,109432169913985954432800249369363555360624717090138304021524096956655985463170,YES,30°C,highest-temperature-in-beijing-on-may-5-2026,1,0,21.05,0,0.0,0.993,,,,,False,0
