wallet,canonical_city,weather_date,category,yes_bucket_count,no_bucket_count,adjacent_yes,non_adjacent_yes,same_bucket_both_sides,cross_bucket_yes_no,main_yes_bucket,main_yes_usd_share,yes_buy_usd,no_buy_usd,all_buy_usd
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-01,MULTI_YES_ONLY,4,0,True,True,False,False,26°C,95.29255133614501,89.73501999999999,0,89.73501999999999
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-02,MULTI_YES_PLUS_NO,2,1,True,False,True,True,24°C,99.7061204709766,151.29669,1.134726,152.431416
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-03,NO_BUY,0,0,False,False,False,False,,,0,0,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-04,SINGLE_YES_PLUS_NO,1,1,False,False,True,False,26°C,100.0,111.46023,2.394749,113.854979
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-05,MULTI_YES_PLUS_NO,3,2,True,False,True,True,31°C,55.081292887391996,46.545585,119.75189,166.297475
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-06,MULTI_YES_PLUS_NO,2,1,True,False,True,True,26°C,79.49926159814132,554.993863,16.565642,571.559505
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-07,SINGLE_YES_PLUS_NO,1,1,False,False,True,False,25°C,100.0,30.30478,0.12232,30.4271
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-08,NO_BUY,0,0,False,False,False,False,,,0,0,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-09,NO_BUY,0,0,False,False,False,False,,,0,0,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-10,NO_BUY,0,0,False,False,False,False,,,0,0,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,beijing,2026-05-11,NO_BUY,0,0,False,False,False,False,,,0,0,0
