rule_id,rule_family,rule_description,split,price_scenario,haircut,group_type,group,positions,events,cities,price_bins,buy_usd,net_pnl,roi_on_buy_usd,win_rate,median_pnl,median_roi,max_single_loss,top1_profit_share_of_net,top5_profit_share_of_net,top10_profit_share_of_net,leave_top1_out_net_pnl,leave_top5_out_net_pnl,weather_date_sequence_drawdown,delta_vs_hold_pnl,saved_loser_to_profit_count,roundtrip_2x_loss_improved_count,roundtrip_2x_loss_saved_to_profit_count,premature_correct_sell_loss_count,premature_correct_sell_loss_usd,max_city_abs_pnl_share,max_price_bin_abs_pnl_share
actual_huskyvs_exit,baseline,huskyvs实际退出结果,train,haircut_0_8,0.8,all_yes,all_yes,2023,1064,50,6,29891.674165604385,11640.684039,0.38942897525608144,0.314878892733564,-1.6,-0.5981148256338129,-130.082041,0.05123410256664213,0.17598373034923329,0.2665209796611335,11044.284039,9592.113038,319.22762299999886,255.43900560438615,308,640,208,304,11448.742027317066,0.19014260042985465,0.3349192531462069
actual_huskyvs_exit,baseline,huskyvs实际退出结果,train,haircut_0_9,0.9,all_yes,all_yes,2023,1064,50,6,29891.674165604385,11640.684039,0.38942897525608144,0.314878892733564,-1.6,-0.5981148256338129,-130.082041,0.05123410256664213,0.17598373034923329,0.2665209796611335,11044.284039,9592.113038,319.22762299999886,255.43900560438615,308,718,225,304,11448.742027317066,0.19014260042985465,0.3349192531462069
actual_huskyvs_exit,baseline,huskyvs实际退出结果,train,sampled_1_0,1.0,all_yes,all_yes,2023,1064,50,6,29891.674165604385,11640.684039,0.38942897525608144,0.314878892733564,-1.6,-0.5981148256338129,-130.082041,0.05123410256664213,0.17598373034923329,0.2665209796611335,11044.284039,9592.113038,319.22762299999886,255.43900560438615,308,799,244,304,11448.742027317066,0.19014260042985465,0.3349192531462069
actual_huskyvs_exit,baseline,huskyvs实际退出结果,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.684503,0.4037081836249597,0.1372745490981964,-5.30495,-0.9999463271714454,-168.4104,0.11867476679771564,0.48893129339731817,0.8009886093045794,5825.281736000001,3378.00291,722.792942,-0.2954846496530011,30,383,21,65,2974.8297349702525,0.14170033302952256,0.3479914810081127
actual_huskyvs_exit,baseline,huskyvs实际退出结果,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.684503,0.4037081836249597,0.1372745490981964,-5.30495,-0.9999463271714454,-168.4104,0.11867476679771564,0.48893129339731817,0.8009886093045794,5825.281736000001,3378.00291,722.792942,-0.2954846496530011,30,442,23,65,2974.8297349702525,0.14170033302952256,0.3479914810081127
actual_huskyvs_exit,baseline,huskyvs实际退出结果,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.684503,0.4037081836249597,0.1372745490981964,-5.30495,-0.9999463271714454,-168.4104,0.11867476679771564,0.48893129339731817,0.8009886093045794,5825.281736000001,3378.00291,722.792942,-0.2954846496530011,30,496,25,65,2974.8297349702525,0.14170033302952256,0.3479914810081127
combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,train,haircut_0_8,0.8,all_yes,all_yes,2023,1064,50,6,29891.674165604385,9621.580321701415,0.32188161387001635,0.4478497281265447,-1.0,-0.5716383039667449,-190.816699992179,0.08087239102085628,0.2024847433725482,0.33040142117885923,8843.4601156862,7673.357099423343,542.2225414241511,-1763.6647116941992,545,739,545,280,8681.6518938208,0.14042907167770977,0.4288643092442589
combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,train,haircut_0_9,0.9,all_yes,all_yes,2023,1064,50,6,29891.674165604385,11054.435281136339,0.36981653218528676,0.4844290657439446,-0.3133800000000001,-0.13590743594101468,-190.816699992179,0.0703340378989753,0.17907521834426812,0.29514618632779654,10276.932211121126,9074.859869494268,413.31125347180387,-330.8097522592747,619,847,619,295,8378.550650593976,0.13962545658596595,0.39564072663345723
combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,train,sampled_1_0,1.0,all_yes,all_yes,2023,1064,50,6,29891.674165604385,12680.281903073113,0.4242078189673298,0.513593672763223,0.024997591858100243,0.009259259259259226,-190.816699992179,0.06140950776705482,0.15878448759557226,0.2609754107620073,11901.592033057901,10666.849838526241,333.76981791929757,1295.0368696775,678,965,678,309,8207.66214605375,0.14455841815102502,0.3982029682628558
combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,4170.942748916254,0.2547540234945276,0.36773547094188375,-2.9845600046614997,-0.9623326258186459,-340.113900006208,0.1570766839646198,0.6342001718228326,1.0706905269810019,3515.784892910213,1525.7301408903677,1385.3935921198668,-2439.0372387333996,252,392,252,109,6309.7076852552,0.13021548584583226,0.402078043790768
