candidate_type,rank,rule_id,rule_family,rule_description,validation_net_pnl,validation_roi,validation_0_8_net_pnl,validation_delta_vs_hold,validation_leave_top5_out_net_pnl,validation_saved_loser_to_profit_count,validation_roundtrip_2x_loss_saved_to_profit_count,validation_premature_correct_sell_loss_count,validation_max_city_abs_pnl_share,selection_notes
highest_validation_profit,1,tp_2_0x_sell_100pct,single_take_profit,2x触发后卖出100%当前已买入且未卖出的份额，剩余持有结算,7793.182007603653,0.47599417967989316,1731.905510182854,1183.2020199540004,5232.312341582171,396,395,113,0.1570843738176259,按验证集原始采样价格净利润排序；规则仍需通过稳健性过滤
highest_validation_profit,2,tp_2_0x_sell_75pct,single_take_profit,2x触发后卖出75%当前已买入且未卖出的份额，剩余持有结算,7497.381502615153,0.4579271925899569,2951.424129549554,887.4015149655006,4753.531301593672,371,371,113,0.13629718227194146,按验证集原始采样价格净利润排序；规则仍需通过稳健性过滤
highest_validation_profit,3,tp_5_0x_sell_100pct,single_take_profit,5x触发后卖出100%当前已买入且未卖出的份额，剩余持有结算,7214.941741026153,0.44067625677255,4150.7229822756535,604.9617533765006,4788.549045290612,153,153,77,0.10672483254519041,按验证集原始采样价格净利润排序；规则仍需通过稳健性过滤
most_robust,1,tp_2_0x_sell_75pct,single_take_profit,2x触发后卖出75%当前已买入且未卖出的份额，剩余持有结算,7497.381502615153,0.4579271925899569,2951.424129549554,887.4015149655006,4753.531301593672,371,371,113,0.13629718227194146,综合八折净利润、剔除Top5后收益、相对完全持有增益、挽救2x后归零案例和城市集中度
most_robust,2,tp_2_0x_sell_100pct,single_take_profit,2x触发后卖出100%当前已买入且未卖出的份额，剩余持有结算,7793.182007603653,0.47599417967989316,1731.905510182854,1183.2020199540004,5232.312341582171,396,395,113,0.1570843738176259,综合八折净利润、剔除Top5后收益、相对完全持有增益、挽救2x后归零案例和城市集中度
most_robust,3,combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,7201.580997626654,0.4398602055000206,4170.942748916254,591.6010099770003,4274.7502616051715,325,325,113,0.11448660386828988,综合八折净利润、剔除Top5后收益、相对完全持有增益、挽救2x后归零案例和城市集中度
simplest_executable,1,combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,7201.580997626654,0.4398602055000206,4170.942748916254,591.6010099770003,4274.7502616051715,325,325,113,0.11448660386828988,优先选择触发条件少、容易执行且通过稳健性过滤的规则
simplest_executable,2,tp_2_0x_sell_50pct,single_take_profit,2x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,7201.580997626654,0.4398602055000206,4170.942748916254,591.6010099770003,4274.7502616051715,325,325,113,0.11448660386828988,优先选择触发条件少、容易执行且通过稳健性过滤的规则
simplest_executable,3,combo_3x_sell50_hold,combo_take_profit,3x卖50%，剩余持有结算,6358.5819184156535,0.3883712687873349,4675.843990613454,-251.39806923399928,3907.4257003897674,248,248,102,0.10857693995879862,优先选择触发条件少、容易执行且通过稳健性过滤的规则
haircut_0_8_still_positive,1,tp_5_0x_sell_25pct,single_take_profit,5x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,6761.220425993779,0.41296373768324846,5995.165736306154,151.2404383441257,3661.9987888196283,135,135,77,0.11114058409083577,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,2,tp_1_5x_sell_25pct,single_take_profit,1.5x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,6588.690383659154,0.4024258988529631,5794.199704956054,-21.289603990498986,3402.279178894869,28,28,115,0.11527613037981663,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,3,tp_3_0x_sell_25pct,single_take_profit,3x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,6484.280953032654,0.39604875005374146,5642.911989131554,-125.69903461699927,3539.3975817485034,74,74,102,0.11900740261525282,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,4,tp_2_0x_sell_25pct,single_take_profit,2x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,6905.780492638154,0.42179321841008427,5390.461368282953,295.8005049885007,3714.566230373869,32,32,113,0.1065587240324066,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,5,tp_5_0x_sell_50pct,single_take_profit,5x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,6912.460864337903,0.42220124404634896,5380.351484962654,302.4808766882505,4253.785164464891,145,145,77,0.10690689705327093,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,6,tp_1_5x_sell_50pct,single_take_profit,1.5x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,6567.400779668653,0.4011255663857782,4978.419422262454,-42.579207980999826,3650.6545936471707,150,150,115,0.12366270173002333,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,7,tp_5_0x_sell_75pct,single_take_profit,5x触发后卖出75%当前已买入且未卖出的份额，剩余持有结算,7063.701302682029,0.4314387504094495,4765.537233619154,453.7213150323754,4530.076159879864,149,149,77,0.10701240802247304,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,8,combo_3x_sell50_hold,combo_take_profit,3x卖50%，剩余持有结算,6358.5819184156535,0.3883712687873349,4675.843990613454,-251.39806923399928,3907.4257003897674,248,248,102,0.10857693995879862,八折可成交价代理下验证集仍为正收益
haircut_0_8_still_positive,9,tp_3_0x_sell_50pct,single_take_profit,3x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,6358.5819184156535,0.3883712687873349,4675.843990613454,-251.39806923399928,3907.4257003897674,248,248,102,0.10857693995879862,八折可成交价代理下验证集仍为正收益
