position_event_id,strategy_id,signal_id,event_id,token_id,updated_at_utc,event_type,delta_buy_shares,delta_buy_cost,delta_sell_shares,sell_proceeds,remaining_shares,remaining_cost_basis,rolling_avg_cost,realized_gross_proceeds,realized_cost_basis_removed,source_fill_id,mode,notes
pos_86813d88c381b3ff9bac,hold_to_settlement,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.172252+00:00,entry_buy,954.5454545454545,100.0,0,0,954.5454545454545,100.0,0.10476190476190476,0.0,0.0,entry_fc758903eb3052fa1c08,demo,same entry fill copied to all frozen strategy branches; add-ons roll into token-level strategy inventory
pos_f2bc221055693673c3d2,tp_2x_sell_50pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.172258+00:00,entry_buy,954.5454545454545,100.0,0,0,954.5454545454545,100.0,0.10476190476190476,0.0,0.0,entry_fc758903eb3052fa1c08,demo,same entry fill copied to all frozen strategy branches; add-ons roll into token-level strategy inventory
pos_e4d3e8a577515d97c1bc,tp_2x_sell_75pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.172263+00:00,entry_buy,954.5454545454545,100.0,0,0,954.5454545454545,100.0,0.10476190476190476,0.0,0.0,entry_fc758903eb3052fa1c08,demo,same entry fill copied to all frozen strategy branches; add-ons roll into token-level strategy inventory
pos_7272a1f106551a53a834,tp_5x_sell_25pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.172267+00:00,entry_buy,954.5454545454545,100.0,0,0,954.5454545454545,100.0,0.10476190476190476,0.0,0.0,entry_fc758903eb3052fa1c08,demo,same entry fill copied to all frozen strategy branches; add-ons roll into token-level strategy inventory
pos_c72cc22832238fde0f5c,tp_2x_sell_50pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.172591+00:00,exit_sell,0,0,477.27272727272725,239.86363636363635,477.27272727272725,50.0,0.10476190476190476,239.86363636363635,50.0,exit_26c15eda74be5b665512,demo,take-profit trigger used executable bid-depth VWAP
pos_d1d373ee70f28f86e9c1,tp_2x_sell_75pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.172613+00:00,exit_sell,0,0,715.9090909090909,356.7954545454545,238.63636363636363,25.0,0.10476190476190476,356.7954545454545,75.0,exit_6043e38fd68323e0ee91,demo,take-profit trigger used executable bid-depth VWAP
pos_b4ff4c583127d15e2fc6,hold_to_settlement,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.173025+00:00,settlement,0,0,954.5454545454545,0.0,0,0,nan,0.0,100.0,set_e102e08e94038fed48a8,demo,settlement closes remaining simulated inventory
pos_a5f8aa3b788cee32fd82,tp_2x_sell_50pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.173034+00:00,settlement,0,0,477.27272727272725,0.0,0,0,nan,239.86363636363635,100.0,set_886dc79879a2f06a61a2,demo,settlement closes remaining simulated inventory
pos_01a85c75d5176a4a58ac,tp_2x_sell_75pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.173042+00:00,settlement,0,0,238.63636363636363,0.0,0,0,nan,356.7954545454545,100.0,set_c6f32081e30627dd0a25,demo,settlement closes remaining simulated inventory
pos_e61497897186d1277e63,tp_5x_sell_25pct,demo_weather_signal_v5_001,evt_ffa314f8f075ff7a,demo_token_yes_v5,2026-07-21T05:42:17.173048+00:00,settlement,0,0,954.5454545454545,0.0,0,0,nan,0.0,100.0,set_45a132b8a706ff9c5cb0,demo,settlement closes remaining simulated inventory
