wallet,city,weather_date,metric,bucket,unit,outcome,avg_price,shares,current_price,entry_cost,current_value,unrealized_pnl,source_scope,caveat
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Beijing,2026-07-20,high,28,C,YES,0.03,350.0,0.001,10.5,0.35,-10.15,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Beijing,2026-07-20,high,29,C,YES,0.139,150.9,0.001,20.9751,0.1509,-20.8242,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Beijing,2026-07-20,high,30,C,YES,0.199,65.0,0.955,12.935,62.075,49.14,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Sao Paulo,2026-07-20,high,28,C,YES,0.25,181.0,0.255,45.25,46.155,0.905,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Sao Paulo,2026-07-20,high,29,C,YES,0.021,300.0,0.004,6.3,1.2,-5.1,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,London,2026-07-20,high,23,C,YES,0.163,210.0,0.21,34.23,44.1,9.87,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Wuhan,2026-07-21,high,29,C,YES,0.019,220.0,0.007,4.18,1.54,-2.64,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Wuhan,2026-07-21,high,30,C,YES,0.041,200.0,0.041,8.2,8.2,0.0,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Wuhan,2026-07-21,high,31,C,YES,0.13,159.0,0.095,20.67,15.105,-5.565,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Wuhan,2026-07-21,high,32,C,YES,0.12,130.0,0.135,15.6,17.55,1.95,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Seoul,2026-07-20,low,<=18,C,YES,0.011,111.4,0.002,1.2254,0.2228,-1.0026,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Seoul,2026-07-20,low,19,C,YES,0.014,245.3,0.004,3.4342,0.9812,-2.453,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Seoul,2026-07-20,low,20,C,YES,0.043,217.9,0.008,9.3697,1.7432,-7.6265,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Seoul,2026-07-20,high,23,C,YES,0.008,565.7,0.001,4.5256,0.5657,-3.9599,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Seoul,2026-07-20,high,24,C,YES,0.079,108.3,0.001,8.5557,0.1083,-8.4474,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Seoul,2026-07-20,high,25,C,YES,0.203,96.0,0.001,19.488,0.096,-19.392,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Wuhan,2026-07-20,high,31,C,YES,0.012,300.0,0.001,3.6,0.3,-3.3,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
0xaf17116ae2b1476032785a67bd5b7c8c05905c20,Wuhan,2026-07-20,high,32,C,YES,0.109,59.5,0.001,6.4855,0.0595,-6.426,public-profile-visible-rows,Only rows visible in SSR profile; hidden adjacent buckets may exist.
