city_a,city_a_total_pnl_on_overlap,city_b,city_b_total_pnl_on_overlap,overlap_days,pearson_corr,same_sign_rate
Buenos Aires,2490.14163,Seoul,1250.134468,60,-0.09580975826284155,0.5666666666666667
London,2788.664397,Seoul,1928.9218199999998,56,-0.040104295075031195,0.5
Buenos Aires,3137.984859,London,1614.03848,54,0.02612663704221787,0.5185185185185185
Buenos Aires,1755.72535,Sao Paulo,676.535543,46,0.016404510529471197,0.45652173913043476
London,915.6983670000001,Sao Paulo,1132.75934,42,0.0016298242174280064,0.47619047619047616
Sao Paulo,884.4428439999999,Seoul,691.6566339999999,39,-0.02397391597675465,0.48717948717948717
Buenos Aires,1820.350011,Paris,410.874428,32,-0.20705894416989173,0.5
Ankara,258.399244,Buenos Aires,1397.63061,30,0.233551012825359,0.6
Ankara,187.49720200000002,Seoul,1363.6684989999999,30,-0.007670170459007847,0.5333333333333333
Ankara,208.477013,London,1035.559475,29,0.3259289655483595,0.6206896551724138
Paris,460.06168,Seoul,273.12187499999993,29,0.35235148951900336,0.4827586206896552
Busan,1371.899206,Seoul,443.12626,28,-0.35499319564664633,0.5
London,264.3428,Paris,130.970099,26,-0.18841319022343492,0.5384615384615384
Moscow,650.280536,Seoul,600.502896,26,-0.015649696254423594,0.5769230769230769
Paris,902.859781,Sao Paulo,524.433486,25,0.594778320792262,0.48
Seoul,854.175085,Taipei,1485.803661,23,-0.04656955447253217,0.5652173913043478
London,1993.368998,Moscow,566.214939,22,-0.1950885473675954,0.5
Beijing,438.234127,Buenos Aires,1588.923487,21,0.3858018872971088,0.7619047619047619
Beijing,387.471839,Seoul,532.114568,21,-0.05637896726673935,0.6190476190476191
Hong Kong,629.053835,Seoul,608.019773,21,0.18729430125175758,0.47619047619047616
London,945.877922,Munich,219.54178100000001,21,-0.14311051128237892,0.5238095238095238
Seoul,1034.657115,Shenzhen,488.482895,21,0.22889502629892652,0.42857142857142855
Beijing,336.80164,London,661.027441,20,0.25040143596623043,0.45
Buenos Aires,1825.548737,Munich,150.738851,20,-0.31451960121196315,0.45
