asset_count,buy_usd,city,closed_asset_count,closed_authoritative_pnl,exit_modes,has_open_or_unresolved,has_transform_events,losing_closed_assets,no_asset_count,open_mark_to_market_cash_pnl,open_or_unresolved_asset_count,sell_usd,transform_asset_count,unit,weather_date,weather_metric,winning_closed_assets,yes_asset_count
1,1.3999990006667191,Buenos Aires,1,-0.233276,mixed_sell_and_resolution,False,False,1,1,0,0,1.1664999999999999,0,C,2026-01-25,high,0,0
2,7.710000000000001,London,2,2.5300000000000002,hold_to_resolution|mixed_sell_and_resolution,False,False,1,1,0,0,0.24,0,C,2026-01-25,high,1,1
2,1.8699999988823528,New York City,2,-1.869999,hold_to_resolution,False,False,2,1,0,0,0.0,0,F,2026-01-25,high,0,1
1,0.7000000000000001,Seattle,1,-0.7,hold_to_resolution,False,False,1,0,0,0,0.0,0,F,2026-01-25,high,0,1
2,6.689996999662793,Atlanta,2,2.781668,hold_to_resolution,False,False,0,1,0,0,0.0,0,F,2026-01-27,high,2,1
1,12.459997999308648,Miami,1,-12.459968,hold_to_resolution,False,False,1,1,0,0,0.0,0,F,2026-01-28,high,0,0
4,22.01959999723229,Ankara,4,2.863683,hold_to_resolution|mixed_sell_and_resolution,False,False,3,2,0,0,14.205820010783999,0,C,2026-01-31,high,1,2
2,21.179997000109395,Buenos Aires,2,0.17303599999999997,hold_to_resolution|mixed_sell_and_resolution,False,False,1,2,0,0,21.3486,0,C,2026-01-31,high,1,0
2,9.999998999440212,London,2,-6.570917999999999,hold_to_resolution|mixed_sell_and_resolution,False,False,1,0,0,0,3.4236,0,C,2026-01-31,high,1,2
2,1.9999990004734496,Buenos Aires,2,-1.9826030000000001,mixed_sell_and_resolution,False,False,2,1,0,0,0.01594,0,C,2026-02-01,high,0,1
1,0.9999990012759068,Seoul,1,-0.999963,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-01,high,0,1
2,5.236,Atlanta,2,0.18799999999999994,transform_affected,False,True,1,1,0,0,0.22400000000000003,2,F,2026-02-02,high,1,1
1,0.1,London,1,-0.075,mixed_sell_and_resolution,False,False,1,0,0,0,0.025,0,C,2026-02-03,high,0,1
1,2.3920000000000003,New York City,1,-0.052,mixed_sell_and_resolution,False,False,0,0,0,0,2.3400000000000003,0,F,2026-02-03,high,1,1
1,0.11599999999999999,Toronto,1,-0.0638,mixed_sell_and_resolution,False,False,1,0,0,0,0.052199999999999996,0,C,2026-02-03,high,0,1
1,0.99,Chicago,1,-0.33000000000000007,mixed_sell_and_resolution,False,False,1,0,0,0,0.66,0,F,2026-02-04,high,0,1
2,46.77328,Dallas,2,1.1279200000000031,transform_affected,False,True,1,1,0,0,0.0212,2,F,2026-02-04,high,1,1
2,10.303290999975236,Miami,2,0.5426779999999995,transform_affected,False,True,1,1,0,0,0.7290000000000001,2,F,2026-02-04,high,1,1
1,2.0,Buenos Aires,1,-1.0,mixed_sell_and_resolution,False,False,1,0,0,0,1.0,0,C,2026-02-05,high,0,1
1,2.0,Seoul,1,-2.0,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-05,high,0,1
2,62.0,New York City,2,6.0,transform_affected,False,True,1,1,0,0,5.5,2,F,2026-02-06,high,1,1
1,2.0,Seoul,1,-2.0,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-06,high,0,1
1,2.0,Toronto,1,-1.085,mixed_sell_and_resolution,False,False,1,0,0,0,0.915,0,C,2026-02-06,high,0,1
2,16.490000000000002,Miami,2,0.5099999999999998,transform_affected,False,True,1,1,0,0,0.0,2,F,2026-02-07,high,1,1
2,98.0,Buenos Aires,2,2.0,transform_affected,False,True,1,1,0,0,0.0,2,C,2026-02-08,high,1,1
2,20.398921999370824,London,2,0.5779379999999998,transform_affected,False,True,1,1,0,0,0.012299999999999998,2,C,2026-02-08,high,1,1
2,67.844,Miami,2,0.6999999999999957,transform_affected,False,True,1,1,0,0,0.544,2,F,2026-02-08,high,1,1
2,57.99992700000857,New York City,2,0.09319500000000147,transform_affected,False,True,1,1,0,0,0.4233,2,F,2026-02-08,high,1,1
1,1.0,Wellington,1,-1.0,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-08,high,0,1
1,1.0,Ankara,1,-1.0,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-09,high,0,1
2,19.5,Buenos Aires,2,0.5,transform_affected,False,True,1,1,0,0,0.0,2,C,2026-02-09,high,1,1
2,85.1384,London,2,0.8504000000000005,transform_affected,False,True,1,1,0,0,0.14880000000000002,2,C,2026-02-09,high,1,1
2,74.9559,Miami,2,0.45425799999999583,transform_affected,False,True,1,1,0,0,0.0,2,F,2026-02-09,high,1,1
4,318.58048199996335,New York City,4,3.0812919999999977,transform_affected,False,True,2,2,0,0,0.0006599999999999999,4,F,2026-02-09,high,2,2
3,99.41676699944274,Seoul,3,1.1167469999999895,mixed_sell_and_resolution|transform_affected,False,True,2,1,0,0,0.5,2,C,2026-02-09,high,1,2
1,1.0,Toronto,1,-0.09999999999999999,mixed_sell_and_resolution,False,False,1,0,0,0,0.8999999999999999,0,C,2026-02-09,high,0,1
3,101.9,Ankara,3,-1.8999999999999986,hold_to_resolution|transform_affected,False,True,2,1,0,0,0.0,2,C,2026-02-10,high,1,2
5,150.83204299769997,Dallas,5,1.4543850000000043,mixed_sell_and_resolution|transform_affected,False,True,3,2,0,0,3.23369,4,F,2026-02-10,high,2,3
2,81.176126,Miami,2,0.8058660000000089,transform_affected,False,True,1,1,0,0,0.36213999999999996,2,F,2026-02-10,high,1,1
1,1.0,Seoul,1,-1.0,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-10,high,0,1
5,174.2999,Ankara,5,-0.3646089999999944,hold_to_resolution|transform_affected,False,True,3,2,0,0,0.9952799999999999,4,C,2026-02-11,high,2,3
6,295.26020000100004,London,6,3.070450000000001,transform_affected,False,True,3,3,0,0,0.030599999999999995,6,C,2026-02-11,high,3,3
5,147.151536,New York City,5,0.09208099999998609,hold_to_resolution|transform_affected,False,True,3,2,0,0,0.733729998594,4,F,2026-02-11,high,2,3
2,88.9959989964076,Seoul,2,2.8044860000000114,transform_affected,False,True,1,1,0,0,0.5002000000000001,2,C,2026-02-11,high,1,1
2,58.0,Toronto,2,2.039999999999999,transform_affected,False,True,1,1,0,0,0.04,2,C,2026-02-11,high,1,1
1,1.0,Wellington,1,-0.7,mixed_sell_and_resolution,False,False,1,0,0,0,0.3,0,C,2026-02-11,high,0,1
2,99.944602,Chicago,2,0.12770000000001147,transform_affected,False,True,1,1,0,0,0.0723,2,F,2026-02-12,high,1,1
2,99.0,Dallas,2,1.0,transform_affected,False,True,1,1,0,0,0.0,2,F,2026-02-12,high,1,1
2,98.99510000000001,Miami,2,0.9999500000000054,transform_affected,False,True,1,1,0,0,0.0,2,F,2026-02-12,high,1,1
1,1.0,Atlanta,1,-0.5,mixed_sell_and_resolution,False,False,1,0,0,0,0.5,0,F,2026-02-13,high,0,1
3,11.898,Dallas,3,-1.2682999999999998,mixed_sell_and_resolution|transform_affected,False,True,2,1,0,0,0.52971,2,F,2026-02-13,high,1,2
3,99.999705,Seattle,3,0.80006,mixed_sell_and_resolution|transform_affected,False,True,2,1,0,0,0.79976,2,F,2026-02-13,high,1,2
5,335.32320000000004,Seoul,5,17.276902,hold_to_resolution|transform_affected,False,True,2,3,0,0,0.0,4,C,2026-02-13,high,3,2
2,31.274199999999997,Ankara,2,-0.6942000000000004,transform_affected,False,True,1,1,0,0,0.0,2,C,2026-02-14,high,1,1
2,285.2281980114707,London,2,2.762912,transform_affected,False,True,1,1,0,0,0.2079,2,C,2026-02-14,high,1,1
7,370.851237999824,Seoul,7,942.5727039999999,hold_to_resolution|mixed_sell_and_resolution|transform_affected,False,True,3,4,0,0,1050.3745100302249,4,C,2026-02-14,high,4,3
2,215.340866,Buenos Aires,2,1.6661480000000002,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-15,high,1,2
2,99.0,Chicago,2,1.0,transform_affected,False,True,1,1,0,0,0.0,2,F,2026-02-15,high,1,1
7,510.09896800049995,London,7,11.714399999999996,mixed_sell_and_resolution|transform_affected,False,True,4,3,0,0,222.032559987964,2,C,2026-02-15,high,3,4
3,63.090299999582,Sao Paulo,3,0.9117079999999999,mixed_sell_and_resolution,False,False,1,2,0,0,63.98343,0,C,2026-02-15,high,2,1
5,387.736898,Seoul,5,3.0504600000000015,mixed_sell_and_resolution|transform_affected,False,True,2,3,0,0,90.748799997259,4,C,2026-02-15,high,3,2
3,93.14139999999999,Toronto,3,-7.763359999999997,mixed_sell_and_resolution|transform_affected,False,True,2,2,0,0,45.648039999999995,2,C,2026-02-15,high,1,1
1,30.8900000013,Ankara,1,-0.19998,mixed_sell_and_resolution,False,False,0,1,0,0,30.69,0,C,2026-02-16,high,1,0
7,212.15423099999998,Buenos Aires,7,56.354065999999996,hold_to_resolution|mixed_sell_and_resolution|transform_affected,False,True,3,3,0,0,65.848139998,2,C,2026-02-16,high,4,4
4,35.594359002010144,London,4,10.995568999999998,mixed_sell_and_resolution,False,False,3,0,0,0,46.589589999999994,0,C,2026-02-16,high,1,4
1,3.0,New York City,1,12.0,mixed_sell_and_resolution,False,False,1,0,0,0,15.0,0,F,2026-02-16,high,0,1
1,1.0,Paris,1,-1.0,hold_to_resolution,False,False,1,0,0,0,0.0,0,C,2026-02-16,high,0,1
5,125.622731,Buenos Aires,5,15.061893,hold_to_resolution|mixed_sell_and_resolution,False,False,3,2,0,0,19.4788,0,C,2026-02-17,high,2,3
2,28.617,London,2,-7.2212,mixed_sell_and_resolution,False,False,2,1,0,0,21.3958,0,C,2026-02-17,high,0,1
1,74.298,New York City,1,-2.873932,mixed_sell_and_resolution,False,False,0,1,0,0,71.424,0,F,2026-02-17,high,1,0
2,152.706661,Paris,2,5.662220000000005,transform_affected,False,True,1,1,0,0,0.0388,2,C,2026-02-17,high,1,1
3,40.08,Sao Paulo,3,-13.379812999999999,hold_to_resolution|mixed_sell_and_resolution,False,False,1,2,0,0,6.7,0,C,2026-02-17,high,2,1
2,70.00439999999999,Toronto,2,1.886809999999997,transform_affected,False,True,1,1,0,0,0.00121,2,C,2026-02-17,high,1,1
2,11.326340000215001,Buenos Aires,2,-1.0519910000000001,mixed_sell_and_resolution,False,False,2,1,0,0,10.274249992291,0,C,2026-02-18,high,0,1
2,127.529832,London,2,2.469847999999999,transform_affected,False,True,1,1,0,0,0.0,2,C,2026-02-18,high,1,1
4,46.18,Sao Paulo,4,21.69684,mixed_sell_and_resolution,False,False,2,1,0,0,67.87684,0,C,2026-02-18,high,2,3
1,1.0,Seoul,1,-0.9,mixed_sell_and_resolution,False,False,1,0,0,0,0.1,0,C,2026-02-18,high,0,1
3,218.35831999962,Toronto,3,4.622707999999999,hold_to_resolution|mixed_sell_and_resolution,False,False,1,3,0,0,33.281020000000005,0,C,2026-02-18,high,2,0
2,3.016,Ankara,2,-2.466,hold_to_resolution|mixed_sell_and_resolution,False,False,2,0,0,0,0.5499999999999999,0,C,2026-02-19,high,0,2
6,173.070699998862,Buenos Aires,6,-2.8797330000000008,hold_to_resolution|mixed_sell_and_resolution|transform_affected,False,True,2,3,0,0,155.96082000217,2,C,2026-02-19,high,4,3
4,104.429227996192,Dallas,4,35.674929,hold_to_resolution|mixed_sell_and_resolution,False,False,2,1,0,0,9.782018000123285,0,F,2026-02-19,high,2,3
1,7.5725999999999996,Miami,1,-4.737784,mixed_sell_and_resolution,False,False,1,0,0,0,2.834799999372,0,F,2026-02-19,high,0,1
