asset,avgPrice,bucket_high,bucket_kind,bucket_label,bucket_low,cashPnl,city,conditionId,curPrice,currentValue,date_year_inferred,endDate,eventSlug,icon,initialValue,market_end_epoch,observation_cutoff_epoch,observation_cutoff_utc,oppositeAsset,oppositeOutcome,outcome,outcomeIndex,proxyWallet,realizedPnl,size,slug,source,timestamp,title,totalBought,unit,weather_date,weather_metric
44074389864653804284840185986260731613708181718652702317854324680282218391164,0.037,9.0,exact,9°C,9.0,nan,London,0xbe996603e0f8fc53d4b74158692dfa48c90c29f2252edb5bbac07b5f275b8883,0.0,nan,False,2026-01-25T00:00:00Z,highest-temperature-in-london-on-january-25,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,nan,1769299200,1769385600,2026-01-26T00:00:00+00:00,99518985644524013434130982741165217736945571069252631656472919473238333792296,No,Yes,0,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,-0.8699999999999999,nan,highest-temperature-in-london-on-january-25-9c,closed_positions,1769347544,Will the highest temperature in London be 9°C on January 25?,30.0,C,2026-01-25,high
54130449392635797188642875922451026016229203726421254929123256728273055689295,0.6600000000000001,7.0,exact,7°C,7.0,nan,London,0x14f1974b96f0bdb9e5a906a9fd372896fab3de2c2ba85f11c71e774cb22ff165,1.0,nan,False,2026-01-25T00:00:00Z,highest-temperature-in-london-on-january-25,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,nan,1769299200,1769385600,2026-01-26T00:00:00+00:00,74196359931311253191875643036984215640663478441124726444027431982562637651331,Yes,No,1,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,3.4,nan,highest-temperature-in-london-on-january-25-7c,closed_positions,1769357670,Will the highest temperature in London be 7°C on January 25?,10.0,C,2026-01-25,high
46009604250276251552167552559869976301228163698082057872811202190710949617592,0.059999,35.0,below,35°C or below,,nan,Buenos Aires,0x5c9270df533d461dd57d5ae109849faa9920eb29f52e4f70ee86bb4b40f4aedd,0.0,nan,False,2026-01-25T00:00:00Z,highest-temperature-in-buenos-aires-on-january-25,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-highest-temperature-in-buenos-aires-be-32-c-or-higher-on-december-6-etNh-JFGhdrt.jpg,nan,1769299200,1769385600,2026-01-26T00:00:00+00:00,33824691295707486508642193371004275775911078300262483800902585070967652780653,Yes,No,1,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,-0.233276,nan,highest-temperature-in-buenos-aires-on-january-25-35corbelow,closed_positions,1769364612,Will the highest temperature in Buenos Aires be 35°C or below on January 25?,23.333332,C,2026-01-25,high
89603837236762931601129389721830612012471446159166529926942517138284087326725,0.830188,41.0,range,between 40-41°F,40.0,nan,Atlanta,0x807d41e996e66d4113f5e80e054e6ea6bc09bc1d9ce49928bcc690f119db117c,1.0,nan,False,2026-01-27T00:00:00Z,highest-temperature-in-atlanta-on-january-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-atlanta-on-december-5--dClj_prA8Ny.jpg,nan,1769472000,1769558400,2026-01-28T00:00:00+00:00,101525352525384667805819585726133645627598516545721593929772426301022222375830,Yes,No,1,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,1.022726,nan,highest-temperature-in-atlanta-on-january-27-40-41f,closed_positions,1769621492,Will the highest temperature in Atlanta be between 40-41°F on January 27?,6.022725,F,2026-01-27,high
8830189905412308201926369614243232713619266883872761637651774437138671442310,0.489999,43.0,range,between 42-43°F,42.0,nan,Atlanta,0x66712ab905db56af8d3896f4771f69965608058d735f03247d8b0711d8d72f15,1.0,nan,False,2026-01-27T00:00:00Z,highest-temperature-in-atlanta-on-january-27,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-atlanta-on-december-5--dClj_prA8Ny.jpg,nan,1769472000,1769558400,2026-01-28T00:00:00+00:00,35263103132001993791861360097914718887047769029576831438050081142427202527741,No,Yes,0,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,1.758942,nan,highest-temperature-in-atlanta-on-january-27-42-43f,closed_positions,1769621492,Will the highest temperature in Atlanta be between 42-43°F on January 27?,3.448978,F,2026-01-27,high
91520462957716093172514014829975252017965328880659079621425561189005474566056,0.937025,6.0,exact,6°C,6.0,nan,Ankara,0xad608883fb85293793005c4fcb1256293585db8fbf0bd33225490089ab503026,1.0,nan,False,2026-01-31T00:00:00Z,highest-temperature-in-ankara-on-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-ankara-on-january-18-nMXCZiNB0tXP.jpg,nan,1769817600,1769904000,2026-02-01T00:00:00+00:00,46011146650168322583376105991004443908167810539080532802804028087113803409883,Yes,No,1,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.672069,nan,highest-temperature-in-ankara-on-january-31-6c,closed_positions,1769840574,Will the highest temperature in Ankara be 6°C on January 31?,10.672045,C,2026-01-31,high
93148744055029195683617192238038353681988227757382626302298551159789906405471,0.6,8.0,exact,8°C,8.0,nan,Ankara,0x777e8687ce2b7ceeb644592cc3018dcaa641b0a810e1ef22822c4b68c9e00054,0.0,nan,False,2026-01-31T00:00:00Z,highest-temperature-in-ankara-on-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-ankara-on-january-18-nMXCZiNB0tXP.jpg,nan,1769817600,1769904000,2026-02-01T00:00:00+00:00,21186628602961375036514926288759704823758575711564295130032564501578159029428,Yes,No,1,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,-0.3330000000000001,nan,highest-temperature-in-ankara-on-january-31-8c,closed_positions,1769853838,Will the highest temperature in Ankara be 8°C on January 31?,6.666665,C,2026-01-31,high
77497677811885170939310849869797851894738718031939451706589048677111887586180,0.19999999999999998,9.0,exact,9°C,9.0,nan,Ankara,0xeca70fcc8a3094509fde81cade3f0a02f9a64d32b826212149b62d6ea9954e54,0.0,nan,False,2026-01-31T00:00:00Z,highest-temperature-in-ankara-on-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-ankara-on-january-18-nMXCZiNB0tXP.jpg,nan,1769817600,1769904000,2026-02-01T00:00:00+00:00,94919418510060436026671787424068920615196421393980486412140159745031215885008,No,Yes,0,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,2.4,nan,highest-temperature-in-ankara-on-january-31-9c,closed_positions,1769855288,Will the highest temperature in Ankara be 9°C on January 31?,15.0,C,2026-01-31,high
8321308297809428044582608401776645827950607844323095150674325120727018949441,0.011356000000000002,,above,11°C or higher,11.0,nan,Ankara,0x5d32323208642fa139bf8aa810d6854ee13c0629b26b8dbdedb4278541b0bcf1,0.0,nan,False,2026-01-31T00:00:00Z,highest-temperature-in-ankara-on-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-ankara-on-january-18-nMXCZiNB0tXP.jpg,nan,1769817600,1769904000,2026-02-01T00:00:00+00:00,103916993669769224008154314570201905738853143460661184659438921807587960573070,No,Yes,0,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.124614,nan,highest-temperature-in-ankara-on-january-31-11corhigher,closed_positions,1769855340,Will the highest temperature in Ankara be 11°C or higher on January 31?,441.88732,C,2026-01-31,high
56617345031175282879220886932202894542261965261766679891777148261868150131145,0.55163,,above,11°C or higher,11.0,nan,London,0x6e65dc08146f299c6ce6a07d942a71c793021e35420ac5f1feaca1611d079bc5,1.0,nan,False,2026-01-31T00:00:00Z,highest-temperature-in-london-on-january-31,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,nan,1769817600,1769904000,2026-02-01T00:00:00+00:00,19483974219863010240717339152718274951972774970878716306492120852231282258282,No,Yes,0,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,-3.571068,nan,highest-temperature-in-london-on-january-31-11corhigher,closed_positions,1769861294,Will the highest temperature in London be 11°C or higher on January 31?,12.689654,C,2026-01-31,high
