actual_entry_allocation_pnl_at_observed_state,authoritative_realized_pnl_sum,basket_buy_budget_usd,basket_key,bucket_count,city,closed_yes_asset_count,counterfactual_status,equal_dollar_basket_pnl_at_observed_state,equal_payout_basket_pnl_at_observed_state,main_bucket_label,single_main_bucket_pnl_at_observed_state,state_model_valid,unit,weather_date,weather_metric,winner_bucket_labels
nan,-0.8699999999999999,1.1099999999999999,London|2026-01-25|high|C,1,London,1,not_evaluable_overlap_or_single,nan,nan,9°C,nan,False,C,2026-01-25,high,
nan,-0.8699999999999999,0.87,New York City|2026-01-25|high|F,1,New York City,1,not_evaluable_overlap_or_single,nan,nan,between 18-19°F,nan,False,F,2026-01-25,high,
nan,-0.7,0.7000000000000001,Seattle|2026-01-25|high|F,1,Seattle,1,not_evaluable_overlap_or_single,nan,nan,between 46-47°F,nan,False,F,2026-01-25,high,
nan,1.758942,1.6899989999552034,Atlanta|2026-01-27|high|F,1,Atlanta,1,not_evaluable_overlap_or_single,nan,nan,between 42-43°F,nan,False,F,2026-01-27,high,between 42-43°F
-8.019614997232704,2.5246139999999997,8.019614997232704,Ankara|2026-01-31|high|C,2,Ankara,2,winner_outside_visible_yes_basket,-8.019614997232704,-8.019614997232704,11°C or higher,-8.019614997232704,True,C,2026-01-31,high,
2.689655000559789,-6.570917999999999,9.999998999440212,London|2026-01-31|high|C,2,London,2,winner_in_basket,-0.9359600393353347,7.850708310407995,11°C or higher,8.128078920769543,True,C,2026-01-31,high,11°C or higher
nan,-0.990649,0.9999990001521372,Buenos Aires|2026-02-01|high|C,1,Buenos Aires,1,not_evaluable_overlap_or_single,nan,nan,35°C,nan,False,C,2026-02-01,high,
nan,-0.999963,0.9999990012759068,Seoul|2026-02-01|high|C,1,Seoul,1,not_evaluable_overlap_or_single,nan,nan,-1°C,nan,False,C,2026-02-01,high,
nan,1.384,1.44,Atlanta|2026-02-02|high|F,1,Atlanta,1,not_evaluable_overlap_or_single,nan,nan,50°F or higher,nan,False,F,2026-02-02,high,50°F or higher
nan,-0.075,0.1,London|2026-02-03|high|C,1,London,1,not_evaluable_overlap_or_single,nan,nan,9°C,nan,False,C,2026-02-03,high,
nan,-0.052,2.3920000000000003,New York City|2026-02-03|high|F,1,New York City,1,not_evaluable_overlap_or_single,nan,nan,between 32-33°F,nan,False,F,2026-02-03,high,between 32-33°F
nan,-0.0638,0.11599999999999999,Toronto|2026-02-03|high|C,1,Toronto,1,not_evaluable_overlap_or_single,nan,nan,-6°C or below,nan,False,C,2026-02-03,high,
nan,-0.33000000000000007,0.99,Chicago|2026-02-04|high|F,1,Chicago,1,not_evaluable_overlap_or_single,nan,nan,23°F or below,nan,False,F,2026-02-04,high,
nan,22.9612,1.0,Dallas|2026-02-04|high|F,1,Dallas,1,not_evaluable_overlap_or_single,nan,nan,between 52-53°F,nan,False,F,2026-02-04,high,
nan,4.7517,0.30329999999999996,Miami|2026-02-04|high|F,1,Miami,1,not_evaluable_overlap_or_single,nan,nan,between 76-77°F,nan,False,F,2026-02-04,high,
nan,-1.0,2.0,Buenos Aires|2026-02-05|high|C,1,Buenos Aires,1,not_evaluable_overlap_or_single,nan,nan,32°C,nan,False,C,2026-02-05,high,
nan,-2.0,2.0,Seoul|2026-02-05|high|C,1,Seoul,1,not_evaluable_overlap_or_single,nan,nan,5°C,nan,False,C,2026-02-05,high,
nan,34.75,2.0,New York City|2026-02-06|high|F,1,New York City,1,not_evaluable_overlap_or_single,nan,nan,between 26-27°F,nan,False,F,2026-02-06,high,
nan,-2.0,2.0,Seoul|2026-02-06|high|C,1,Seoul,1,not_evaluable_overlap_or_single,nan,nan,-5°C,nan,False,C,2026-02-06,high,
nan,-1.085,2.0,Toronto|2026-02-06|high|C,1,Toronto,1,not_evaluable_overlap_or_single,nan,nan,1°C,nan,False,C,2026-02-06,high,
nan,8.33,0.17,Miami|2026-02-07|high|F,1,Miami,1,not_evaluable_overlap_or_single,nan,nan,between 74-75°F,nan,False,F,2026-02-07,high,
nan,49.0,1.0,Buenos Aires|2026-02-08|high|C,1,Buenos Aires,1,not_evaluable_overlap_or_single,nan,nan,35°C,nan,False,C,2026-02-08,high,
nan,0.6265509999999999,9.87,London|2026-02-08|high|C,1,London,1,not_evaluable_overlap_or_single,nan,nan,11°C,nan,False,C,2026-02-08,high,11°C
nan,33.544,1.0,Miami|2026-02-08|high|F,1,Miami,1,not_evaluable_overlap_or_single,nan,nan,between 68-69°F,nan,False,F,2026-02-08,high,
nan,28.258153,1.0,New York City|2026-02-08|high|F,1,New York City,1,not_evaluable_overlap_or_single,nan,nan,between 22-23°F,nan,False,F,2026-02-08,high,
nan,-1.0,1.0,Wellington|2026-02-08|high|C,1,Wellington,1,not_evaluable_overlap_or_single,nan,nan,18°C,nan,False,C,2026-02-08,high,
nan,-1.0,1.0,Ankara|2026-02-09|high|C,1,Ankara,1,not_evaluable_overlap_or_single,nan,nan,7°C,nan,False,C,2026-02-09,high,
nan,9.6,0.4,Buenos Aires|2026-02-09|high|C,1,Buenos Aires,1,not_evaluable_overlap_or_single,nan,nan,35°C,nan,False,C,2026-02-09,high,
nan,42.0616,0.8584,London|2026-02-09|high|C,1,London,1,not_evaluable_overlap_or_single,nan,nan,9°C,nan,False,C,2026-02-09,high,9°C
nan,36.705087,1.0,Miami|2026-02-09|high|F,1,Miami,1,not_evaluable_overlap_or_single,nan,nan,between 70-71°F,nan,False,F,2026-02-09,high,
-3.4267,157.38989299999997,3.4267,New York City|2026-02-09|high|F,2,New York City,2,winner_outside_visible_yes_basket,-3.4267,-3.4267,between 26-27°F,-3.4267,True,F,2026-02-09,high,
-2.0,48.5,2.0,Seoul|2026-02-09|high|C,2,Seoul,2,winner_outside_visible_yes_basket,-2.0,-2.0,4°C,-2.0,True,C,2026-02-09,high,
nan,-0.09999999999999999,1.0,Toronto|2026-02-09|high|C,1,Toronto,1,not_evaluable_overlap_or_single,nan,nan,-9°C,nan,False,C,2026-02-09,high,
-2.0,48.0,2.0,Ankara|2026-02-10|high|C,2,Ankara,2,winner_outside_visible_yes_basket,-2.0,-2.0,3°C,-2.0,True,C,2026-02-10,high,
-2.52,72.61065500000001,2.52,Dallas|2026-02-10|high|F,3,Dallas,3,winner_outside_visible_yes_basket,-2.52,-2.52,between 62-63°F,-2.52,True,F,2026-02-10,high,
nan,39.990174,0.816126,Miami|2026-02-10|high|F,1,Miami,1,not_evaluable_overlap_or_single,nan,nan,between 72-73°F,nan,False,F,2026-02-10,high,
nan,-1.0,1.0,Seoul|2026-02-10|high|C,1,Seoul,1,not_evaluable_overlap_or_single,nan,nan,2°C,nan,False,C,2026-02-10,high,
-3.4588,83.0112,3.4588,Ankara|2026-02-11|high|C,3,Ankara,3,winner_outside_visible_yes_basket,-3.4588,-3.4588,4°C,-3.4588,True,C,2026-02-11,high,
-3.0,146.1806,3.0,London|2026-02-11|high|C,3,London,3,winner_outside_visible_yes_basket,-3.0,-3.0,8°C or below,-3.0,True,C,2026-02-11,high,
-3.5771360000000003,70.14625799999999,3.5771360000000003,New York City|2026-02-11|high|F,3,New York City,3,winner_outside_visible_yes_basket,-3.5771360000000003,-3.5771360000000003,between 34-35°F,-3.5771360000000003,True,F,2026-02-11,high,
nan,41.15048600000001,4.999998996407598,Seoul|2026-02-11|high|C,1,Seoul,1,not_evaluable_overlap_or_single,nan,nan,6°C or higher,nan,False,C,2026-02-11,high,
nan,29.04,1.0,Toronto|2026-02-11|high|C,1,Toronto,1,not_evaluable_overlap_or_single,nan,nan,2°C or higher,nan,False,C,2026-02-11,high,
