asset,avgPrice,bucket_high,bucket_kind,bucket_label,bucket_low,cashPnl,city,conditionId,curPrice,currentValue,date_year_inferred,endDate,eventId,eventSlug,icon,initialValue,market_end_epoch,mergeable,negativeRisk,observation_cutoff_epoch,observation_cutoff_utc,oppositeAsset,oppositeOutcome,outcome,outcomeIndex,percentPnl,percentRealizedPnl,proxyWallet,realizedPnl,redeemable,size,slug,source,timestamp,title,totalBought,unit,weather_date,weather_metric
86739562054502113242815954367302335726604589599267696304151712275307744511643,0.0012,18.0,below,18°C or below,,-10.7792,Sao Paulo,0x7615cae1215fde935a64bf5f235c4e8cb7dfa02e60ce34e33caa2d4379dce991,0.0,0.0,False,2026-07-06,667960,highest-temperature-in-sao-paulo-on-july-6-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/sao paulo-7deca91e54.jpg,10.7792,1783296000,False,True,1783382400,2026-07-07T00:00:00+00:00,72889184074771937212514668510913300310449596170429011550273271427945505365228,No,Yes,0,-99.9995,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,-0.257,True,8777.886,highest-temperature-in-sao-paulo-on-july-6-2026-18corbelow,current_positions,0,Will the highest temperature in Sao Paulo be 18°C or below on July 6?,9905.216,C,2026-07-06,high
90581625739294923712717100400298996008316719897234664271966970767438605325317,0.0015,26.0,below,26°C or below,,-10.331,London,0x4854076e7b5d9344222f0c2e453e7ad6e290d87398f629072f794ebef1cec266,0.0,0.0,False,2026-06-25,624634,highest-temperature-in-london-on-june-25-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,10.331,1782345600,False,True,1782432000,2026-06-26T00:00:00+00:00,83370012828159631625783236455816520724182698169266061937620492337782379425261,No,Yes,0,-99.9997,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,6814.66,highest-temperature-in-london-on-june-25-2026-26corbelow,current_positions,0,Will the highest temperature in London be 26°C or below on June 25?,6814.66,C,2026-06-25,high
90619555648751027912180907077137552202962798875929820311408158992310985924516,0.0266,28.0,exact,28°C,28.0,-107.6502,Shenzhen,0x203fe4be1ad609827f56efe1b301d2706bce13ccbea8c08602fbc0f9f0417174,0.0,0.0,False,2026-07-14,693931,highest-temperature-in-shenzhen-on-july-14-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/shenzhen-cf834873c6.jpg,107.6502,1783987200,False,True,1784073600,2026-07-15T00:00:00+00:00,72802459176577042840754338261833263676695440589193397153792285199136671156083,No,Yes,0,-99.9999,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,4042.444,highest-temperature-in-shenzhen-on-july-14-2026-28c,current_positions,0,Will the highest temperature in Shenzhen be 28°C on July 14?,4042.444,C,2026-07-14,high
14357993999587151654391442294390440781215773495067294761990323131405432501528,0.001,26.0,exact,26°C,26.0,-3.8862,Shenzhen,0xb266045b02253aee54aa85e4632460ac7fa66323315408e71c298f678f22bf47,0.0,0.0,False,2026-06-09,568055,highest-temperature-in-shenzhen-on-june-9-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/shenzhen-cf834873c6.jpg,3.8862,1780963200,False,True,1781049600,2026-06-10T00:00:00+00:00,30676194631534415140873570646816533162701731022418876984438802698106896848646,No,Yes,0,-99.9979,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,11.3156,True,3886.28,highest-temperature-in-shenzhen-on-june-9-2026-26c,current_positions,0,Will the highest temperature in Shenzhen be 26°C on June 9?,4152.0,C,2026-06-09,high
62425081517201228994545111558114816871846544602623287362281417432718371521505,0.0026,16.0,below,16°C or below,,-9.3451,Amsterdam,0xc02510708c15a3b0867d9b03011dc9def46a76aa6873cf8c67174950b3223fab,0.0,0.0,False,2026-07-18,708986,highest-temperature-in-amsterdam-on-july-18-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/amsterdam-02ab78335a.jpg,9.3451,1784332800,False,True,1784419200,2026-07-19T00:00:00+00:00,90317891243492252341283537816434964912640721358510147065016750845670892710287,No,Yes,0,-99.9989,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,3556.01,highest-temperature-in-amsterdam-on-july-18-2026-16corbelow,current_positions,0,Will the highest temperature in Amsterdam be 16°C or below on July 18?,3556.01,C,2026-07-18,high
59836371738478806945866642163642418990893418597792147045189021816512429533195,0.0013,23.0,below,23°C or below,,-4.6664,Madrid,0x783d66ed8f654d8b0115cd932c9b15fc248502b18ccaba8edc5a53351ef7e598,0.0,0.0,False,2026-06-05,553914,highest-temperature-in-madrid-on-june-5-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/madrid-84bf84053b.jpg,4.6664,1780617600,False,True,1780704000,2026-06-06T00:00:00+00:00,76526359826522003119870905032163222011377317900073759929334721773033516392509,No,Yes,0,-99.9983,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,3456.65,highest-temperature-in-madrid-on-june-5-2026-23corbelow,current_positions,0,Will the highest temperature in Madrid be 23°C or below on June 5?,3456.65,C,2026-06-05,high
78393126909149093331437813572093216978023187968865958212944628616981886569428,0.001,34.0,exact,34°C,34.0,-3.1034,Lucknow,0x0def2ccba179d53e9b1acf14bdfe3bdd6bd5d13649bbdc993cde22022bdc611e,0.0,0.0,False,2026-07-16,701722,highest-temperature-in-lucknow-on-july-16-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/lucknow-0163e1bfc4.jpg,3.1034,1784160000,False,True,1784246400,2026-07-17T00:00:00+00:00,102792567626759998642884097749614529626465800370287117611364379249669645411176,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,3103.4,highest-temperature-in-lucknow-on-july-16-2026-34c,current_positions,0,Will the highest temperature in Lucknow be 34°C on July 16?,3103.4,C,2026-07-16,high
70985782570338059459956815659602833155859850916245835120340153117086526033734,0.0135,26.0,exact,26°C,26.0,-38.0726,Shenzhen,0x07f49bab23d45720063809c1ee38e7c0f3fbb3475c4960bd927a9f81e998b13f,0.0,0.0,False,2026-07-07,668434,highest-temperature-in-shenzhen-on-july-7-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/shenzhen-cf834873c6.jpg,38.0726,1783382400,False,True,1783468800,2026-07-08T00:00:00+00:00,85260665818503849003982868023016493431203030039157726208074071854626935579401,No,Yes,0,-99.9999,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,2807.0938,highest-temperature-in-shenzhen-on-july-7-2026-26c,current_positions,0,Will the highest temperature in Shenzhen be 26°C on July 7?,2807.0938,C,2026-07-07,high
41127883914278264392909045364158845163650517746674104638775377106711845756252,0.003,35.0,exact,35°C,35.0,-7.0429,Shenzhen,0x6c3484314a3c5777e5dddaaf15117cf4c35ecf5224426f59032d8237e07d63cd,0.0,0.0,False,2026-06-04,550256,highest-temperature-in-shenzhen-on-june-4-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/shenzhen-cf834873c6.jpg,7.0429,1780531200,False,True,1780617600,2026-06-05T00:00:00+00:00,34099260588974606649377963698986182710178638361039554360806715453264981844521,No,Yes,0,-99.9997,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,2280.0,highest-temperature-in-shenzhen-on-june-4-2026-35c,current_positions,0,Will the highest temperature in Shenzhen be 35°C on June 4?,2280.0,C,2026-06-04,high
40408702059100246788999312109286900746982558748224442040599591995084775523998,0.002,13.0,exact,13°C,13.0,-4.3822,Warsaw,0x0552f2c7abe358b6b423c5bb4c5c6e923ff5ef0838b51361443b1254a7b25be7,0.0,0.0,False,2026-06-11,575223,highest-temperature-in-warsaw-on-june-11-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/warsaw-7f43eebaf6.jpg,4.3822,1781136000,False,True,1781222400,2026-06-12T00:00:00+00:00,8642708943470286633362129045248666402310980455459749600874105154444225803273,No,Yes,0,-99.999,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,2191.12,highest-temperature-in-warsaw-on-june-11-2026-13c,current_positions,0,Will the highest temperature in Warsaw be 13°C on June 11?,2191.12,C,2026-06-11,high
17705967338127427281210066205015996475001514959337797573789386578857328389346,0.0045,26.0,below,26°C or below,,-9.8406,Shenzhen,0x62121aa34aad0503a3ef2f2059b9cca05010b272cc84d7c4fc15d757e6c87206,0.0,0.0,False,2026-07-17,705216,highest-temperature-in-shenzhen-on-july-17-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/shenzhen-cf834873c6.jpg,9.8406,1784246400,False,True,1784332800,2026-07-18T00:00:00+00:00,83145587241535484387392493089679168983348771570498827896937065882132695743321,No,Yes,0,-99.9996,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,2184.38,highest-temperature-in-shenzhen-on-july-17-2026-26corbelow,current_positions,0,Will the highest temperature in Shenzhen be 26°C or below on July 17?,2184.38,C,2026-07-17,high
90518157390011225501698607402919496806148065447897643775735120828052180718209,0.0224,27.0,exact,27°C,27.0,-48.7963,London,0x9d1170ee09a7fcd41faba5072aaffa6ad8e980889f2bfdae6f0d2f43fe6949a2,0.0,0.0,False,2026-06-25,624634,highest-temperature-in-london-on-june-25-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,48.7963,1782345600,False,True,1782432000,2026-06-26T00:00:00+00:00,62664343537875324001336154269905706592009304564356627570827922412557479923846,No,Yes,0,-99.9999,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,-21.6694,True,2174.6216,highest-temperature-in-london-on-june-25-2026-27c,current_positions,0,Will the highest temperature in London be 27°C on June 25?,3185.3716,C,2026-06-25,high
94483703141315768056145813496644841640737357968019752950095828131871305207007,0.0019,20.0,below,20°C or below,,-3.9352,London,0x6623c66dbdcc2619bca3afb1ede1a4be463179cdce45aadf3df8d9133344322f,0.0,0.0,False,2026-07-18,708975,highest-temperature-in-london-on-july-18-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,3.9352,1784332800,False,True,1784419200,2026-07-19T00:00:00+00:00,99761687325990741959605559170614490257015199248400104331436738014931159747811,No,Yes,0,-99.999,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0.0,True,2012.91,highest-temperature-in-london-on-july-18-2026-20corbelow,current_positions,0,Will the highest temperature in London be 20°C or below on July 18?,2012.91,C,2026-07-18,high
