buy_usd_for_closed_positions,closed_positions_with_authoritative_pnl,entry_price_bin,exit_mode,gross_loss_pnl,gross_positive_pnl,items_with_pnl,leave_top1_out_pnl,level,mean_realized_pnl,median_realized_pnl,outcome_filter,positions,realized_pnl_sum,roi_on_buy_usd,top10_cutoff_id,top10_pnl,top10_share_of_gross_positive_pnl,top10_share_of_total_net_pnl,top1_id,top1_pnl,top1_share_of_gross_positive_pnl,top1_share_of_total_net_pnl,top5_cutoff_id,top5_pnl,top5_share_of_gross_positive_pnl,top5_share_of_total_net_pnl,total_net_pnl,win_rate
169.6814002946966,87,0-1c,hold_to_resolution,-164.262346,823.01571,87,250.41695900000002,bin,7.571877747126437,-1.2,all_outcomes,87,658.753364,3.8822956603133916,,823.01571,1.0,1.2493533315755485,,408.336405,0.49614654986355,0.6198623450217402,,823.01571,1.0,1.2493533315755485,658.753364,0.034482758620689655
204.8280035854192,62,0-1c,mixed_sell_and_resolution,-66.071121,1760.414026,62,909.9401379999999,bin,27.328111370967743,-0.08297550000000001,all_outcomes,62,1694.342905,8.272027629725004,,1729.216434,0.9822782643518884,1.0205823324765537,,784.402767,0.44557857152633257,0.4629539656259841,,1677.042734,0.9526410885344765,0.9897894511500906,1694.342905,0.45161290322580644
0,0,0-1c,no_public_exit_yet,0,0,0,0,bin,nan,nan,all_outcomes,261,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
0,0,0-1c,pre_resolution_sell,0,0,0,0,bin,nan,nan,all_outcomes,11,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
4.565904,3,0-1c,transform_affected,0,515.604405,3,197.30821000000003,bin,171.868135,148.38051,all_outcomes,3,515.604405,112.9249333757346,,515.604405,1.0,1.0,,318.296195,0.617326368652727,0.617326368652727,,515.604405,1.0,1.0,515.604405,1.0
213.67495651969304,71,1-2c,hold_to_resolution,-217.92373800000001,86.210661,71,-184.183077,bin,-1.8551137605633803,-2.399998,all_outcomes,71,-131.713077,-0.6164179422114957,,86.210661,1.0,nan,,52.47,0.6086254227884879,nan,,86.210661,1.0,nan,-131.713077,0.028169014084507043
552.7908486004609,86,1-2c,mixed_sell_and_resolution,-112.76698400000001,610.654125,86,325.293145,bin,5.789385360465117,-0.1241075,all_outcomes,86,497.887141,0.9006790583826334,,517.146124,0.8468723993307995,1.0386814227845262,,172.593996,0.2826378942416871,0.34665284918455047,,410.658138,0.672488928163713,0.824801655200812,497.887141,0.4418604651162791
0,0,1-2c,no_public_exit_yet,0,0,0,0,bin,nan,nan,all_outcomes,209,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
0,0,1-2c,pre_resolution_sell,0,0,0,0,bin,nan,nan,all_outcomes,21,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
55.055157999824,36,1-2c,transform_affected,0,2614.865598,36,1643.062135,bin,72.6351555,47.855627500000004,all_outcomes,36,2614.865598,47.49537905255597,,1647.770156,0.6301548183816063,0.6301548183816063,,971.803463,0.37164566459679277,0.37164566459679277,,1402.770156,0.536459754211811,0.536459754211811,2614.865598,1.0
410.88426611073,90,2-5c,hold_to_resolution,-389.225513,747.193458,90,161.662972,bin,3.9774216111111107,-3.3642345000000002,all_outcomes,90,357.967945,0.8712135618829719,,747.193458,1.0,2.087319460964584,,196.304973,0.2627230885096962,0.54838701549101,,653.367663,0.8744290464598795,1.8252127659084112,357.967945,0.1
1584.239039984897,178,2-5c,mixed_sell_and_resolution,-345.08879,5825.633913,178,4745.1338319999995,bin,30.78957934269663,0.0305,all_outcomes,178,5480.545123,3.459418045304733,,4276.2369,0.7340380401277028,0.7802575846066983,,735.411291,0.12623712749249782,0.1341857925617156,,2948.328028,0.5060956579198629,0.5379625496790204,5480.545123,0.5056179775280899
0,0,2-5c,no_public_exit_yet,0,0,0,0,bin,nan,nan,all_outcomes,299,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
0,0,2-5c,pre_resolution_sell,0,0,0,0,bin,nan,nan,all_outcomes,48,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
80.82523398917232,14,2-5c,transform_affected,0,1040.183767,14,741.0419979999999,bin,74.2988405,44.575243,all_outcomes,16,1040.183767,12.869542290955165,,1004.110867,0.9653206470390919,0.9653206470390919,,299.141769,0.2875855002647816,0.2875855002647816,,794.721813,0.764020587719862,0.764020587719862,1040.183767,1.0
653.197496655348,73,5-10c,hold_to_resolution,-518.351906,1684.423084,73,839.5352679999999,bin,15.973577780821918,-6.38485,all_outcomes,73,1166.071178,1.7851739848526451,,1680.4027839999999,0.9976132480977088,1.441080798242661,,326.53591,0.19385623071881386,0.28003085588656923,,1150.321021,0.6829169179208422,0.986492971186361,1166.071178,0.1643835616438356
3206.1529721774295,240,5-10c,mixed_sell_and_resolution,-1026.312245,6542.165671,240,5063.409377999999,bin,22.982722608333333,0.028752,all_outcomes,240,5515.853426,1.7203962112431455,,2744.034607,0.41943826325947536,0.4974814221976029,,452.444048,0.06915814590351728,0.08202611872667263,,1766.1639810000001,0.269966257325005,0.32019777260121857,5515.853426,0.5125
0,0,5-10c,no_public_exit_yet,0,0,0,0,bin,nan,nan,all_outcomes,235,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
0,0,5-10c,pre_resolution_sell,0,0,0,0,bin,nan,nan,all_outcomes,53,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
59.11774599698425,3,5-10c,transform_affected,0,357.40710600000006,3,175.21404500000003,bin,119.13570200000001,138.705713,all_outcomes,3,357.40710600000006,6.045682222360648,,357.40710600000006,1.0,1.0,,182.19306100000003,0.5097633984926981,0.5097633984926981,,357.40710600000006,1.0,1.0,357.40710600000006,1.0
1660.024112664103,102,10-20c,hold_to_resolution,-1003.903258,3716.632119,102,2404.229956,bin,26.595380990196077,-9.827145999999999,all_outcomes,102,2712.728861,1.6341502754718757,,1808.593769,0.48662168089066127,0.6667064279816353,,308.498905,0.08300496124512989,0.11372272011227737,,1045.19524,0.2812210642685887,0.3852929258896545,2712.728861,0.3333333333333333
6471.973869886268,347,10-20c,mixed_sell_and_resolution,-1155.054856,9198.861671,347,7610.732517,bin,23.18099946685879,0.600889,all_outcomes,347,8043.806815,1.2428676284413605,,2348.142071,0.2552644180314906,0.29191925228999926,,433.074298,0.04707911842671734,0.05383947028568711,,1460.973504,0.15882111898756043,0.1816271247682867,8043.806815,0.553314121037464
0,0,10-20c,no_public_exit_yet,0,0,0,0,bin,nan,nan,all_outcomes,243,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
0,0,10-20c,pre_resolution_sell,0,0,0,0,bin,nan,nan,all_outcomes,62,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
168.97866001383662,7,10-20c,transform_affected,-1.621683,248.854578,7,162.23289499999998,bin,35.318985,35.041481,all_outcomes,8,247.23289499999998,1.4631012873445417,,248.854578,1.0,1.0065593334576293,,85.0,0.3415649440051691,0.3438053823703355,,248.751347,0.9995851754031224,1.0061417878878942,247.23289499999998,0.8571428571428571
7158.158871850305,124,>=20c,hold_to_resolution,-500.330172,3552.907541,124,2767.1513640000003,bin,24.617559427419355,11.059481,all_outcomes,124,3052.577369,0.42644727836432367,,1436.7019109999999,0.4043735713414108,0.47065208750815446,,285.426005,0.08033589439247385,0.09350328279918528,,968.027559,0.27246066716600775,0.3171181077441841,3052.577369,0.7983870967741935
19874.711948771626,466,>=20c,mixed_sell_and_resolution,-1851.797587,8425.271422,466,6323.357014,bin,14.106167027896996,3.094999,all_outcomes,466,6573.473835,0.3307456154304807,,1641.203884,0.1947953723739394,0.24967071067683044,,250.116821,0.029686500110476795,0.038049413031549705,,983.275689,0.1167055207779394,0.149582353817949,6573.473835,0.6223175965665236
0,0,>=20c,no_public_exit_yet,0,0,0,0,bin,nan,nan,all_outcomes,122,nan,nan,,0,nan,nan,,0,nan,nan,,0,nan,nan,0,nan
