actual_minus_equal_amount,actual_minus_main_bucket,actual_minus_original_hold,actual_trade_pnl_v2,basket_key,bucket_count,buckets,city,equal_amount_basket_same_input_pnl,equal_payout_basket_same_input_pnl,evaluable,liquidity_limit,main_bucket,main_bucket_only_same_input_pnl,non_simultaneous_fill_limit,not_evaluable_reason,original_shares_hold_to_resolution_pnl,settled_yes_bucket_count,total_input_usd,unit,weather_date,weather_metric,winner_buckets
,,,,Ankara|2026-01-31|high|C,2,,Ankara,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-01-31,high,
,,,,London|2026-01-31|high|C,2,,London,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-01-31,high,
,,,,New York City|2026-02-09|high|F,2,,New York City,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,F,2026-02-09,high,
,,,,Seoul|2026-02-09|high|C,2,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-09,high,
,,,,Ankara|2026-02-10|high|C,2,,Ankara,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-10,high,
,,,,Dallas|2026-02-10|high|F,3,,Dallas,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,3,,F,2026-02-10,high,
86.47,86.47,86.47,83.0112,Ankara|2026-02-11|high|C,3,4°C|5°C|6°C,Ankara,-3.4588,-3.4588,True,counterfactual assumes all target shares could be filled at observed weighted average prices,4°C,-3.4588,counterfactual ignores that original fills occurred at different times and market states,,-3.4588,,3.4588,C,2026-02-11,high,
,,,,London|2026-02-11|high|C,3,,London,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,3,,C,2026-02-11,high,
73.72339399999998,73.72339399999998,73.72339399999998,70.14625799999999,New York City|2026-02-11|high|F,3,between 34-35°F|between 36-37°F|between 38-39°F,New York City,-3.5771360000000003,-3.5771360000000003,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 34-35°F,-3.5771360000000003,counterfactual ignores that original fills occurred at different times and market states,,-3.5771360000000003,,3.5771360000000003,F,2026-02-11,high,
5.5797,5.5797,5.5797,3.5797,Dallas|2026-02-13|high|F,2,between 64-65°F|between 66-67°F,Dallas,-2.0,-2.0,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 64-65°F,-2.0,counterfactual ignores that original fills occurred at different times and market states,,-2.0,,2.0,F,2026-02-13,high,
50.799765,50.799765,50.799765,47.80006,Seattle|2026-02-13|high|F,2,between 38-39°F|between 40-41°F,Seattle,-2.999705,-2.999705,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 40-41°F,-2.999705,counterfactual ignores that original fills occurred at different times and market states,,-2.999705,,2.999705,F,2026-02-13,high,
124.9951,124.9951,124.9951,122.4951,Seoul|2026-02-13|high|C,2,4°C|5°C,Seoul,-2.5,-2.5,True,counterfactual assumes all target shares could be filled at observed weighted average prices,4°C,-2.5,counterfactual ignores that original fills occurred at different times and market states,,-2.5,,2.5,C,2026-02-13,high,
,,,,Seoul|2026-02-14|high|C,3,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,3,,C,2026-02-14,high,
,,,,Buenos Aires|2026-02-15|high|C,2,,Buenos Aires,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-15,high,
,,,,London|2026-02-15|high|C,4,,London,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,4,,C,2026-02-15,high,
,,,,Seoul|2026-02-15|high|C,2,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-15,high,
15.394774146341465,65.78014,5.780140000000003,45.12214,Buenos Aires|2026-02-16|high|C,3,32°C|33°C|34°C,Buenos Aires,29.727365853658537,30.76372147255338,True,counterfactual assumes all target shares could be filled at observed weighted average prices,32°C,-20.657999999999998,counterfactual ignores that original fills occurred at different times and market states,,39.342,,20.657999999999998,C,2026-02-16,high,33°C
,,,,London|2026-02-16|high|C,4,,London,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,4,,C,2026-02-16,high,
3.9886007530864216,-23.723659740740743,-0.8252689999999987,-4.6022,Buenos Aires|2026-02-17|high|C,3,31°C|32°C|33°C,Buenos Aires,-8.590800753086421,3.3541391149425266,True,counterfactual assumes all target shares could be filled at observed weighted average prices,31°C,19.121459740740743,counterfactual ignores that original fills occurred at different times and market states,,-3.776931000000001,,22.446931000000003,C,2026-02-17,high,31°C
10.565416666666668,2.3362500000000006,8.93,6.78,Sao Paulo|2026-02-18|high|C,3,31°C|32°C|33°C,Sao Paulo,-3.7854166666666673,2.648804913873681,True,counterfactual assumes all target shares could be filled at observed weighted average prices,31°C,4.44375,counterfactual ignores that original fills occurred at different times and market states,,-2.1500000000000004,,7.9,C,2026-02-18,high,31°C
0.5499999999999998,0.5499999999999998,0.5499999999999998,-2.466,Ankara|2026-02-19|high|C,2,6°C|7°C,Ankara,-3.016,-3.016,True,counterfactual assumes all target shares could be filled at observed weighted average prices,6°C,-3.016,counterfactual ignores that original fills occurred at different times and market states,,-3.016,,3.016,C,2026-02-19,high,
13.608043445692886,0.8585303370786521,10.7528,2.9622,Buenos Aires|2026-02-19|high|C,3,31°C|32°C|33°C,Buenos Aires,-10.645843445692885,-2.5357032875855996,True,counterfactual assumes all target shares could be filled at observed weighted average prices,32°C,2.103669662921348,counterfactual ignores that original fills occurred at different times and market states,,-7.790600000000001,,17.0206,C,2026-02-19,high,32°C
-3.0376832857142855,13.684281,7.684281,4.319981,Dallas|2026-02-19|high|F,2,between 78-79°F|between 80-81°F,Dallas,7.357664285714286,13.475456097560976,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 80-81°F,-9.3643,counterfactual ignores that original fills occurred at different times and market states,,-3.3643,,9.3643,F,2026-02-19,high,between 78-79°F
0.00027799717347765096,0.00027799717347765096,0.00027799717347765096,-4.153412,Miami|2026-02-20|high|F,2,between 84-85°F|between 86-87°F,Miami,-4.153689997173478,-4.153689997173478,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 84-85°F,-4.153689997173478,counterfactual ignores that original fills occurred at different times and market states,,-4.153689997173478,,4.153689997173478,F,2026-02-20,high,
