city_a,city_b,overlap_days,pearson_corr_no_zero_fill,same_sign_rate
London,Seoul,84,-0.040578816628986235,0.5833333333333334
Buenos Aires,London,75,0.04680980471186702,0.5333333333333333
Buenos Aires,Seoul,75,-0.07305634128663797,0.52
London,Sao Paulo,70,-0.05734610335424972,0.5428571428571428
Buenos Aires,Sao Paulo,69,-0.06721468279720065,0.4782608695652174
Sao Paulo,Seoul,62,-0.03970009447109537,0.5967741935483871
Buenos Aires,Paris,47,-0.13865338036889155,0.48936170212765956
London,Paris,47,-0.12548014324331486,0.48936170212765956
Moscow,Seoul,47,-0.06188420250824188,0.5319148936170213
Busan,Seoul,45,-0.27233648449572595,0.4444444444444444
London,Moscow,45,-0.14322590076911684,0.4
Ankara,London,44,0.16357835297391823,0.5454545454545454
Paris,Seoul,44,0.04158108299281793,0.5454545454545454
Seoul,Shenzhen,44,0.12065144446600476,0.5681818181818182
Ankara,Buenos Aires,42,0.25925651930476135,0.5714285714285714
Ankara,Seoul,42,0.01628171632466942,0.5476190476190477
London,Shenzhen,42,-0.029660119716665812,0.5476190476190477
Beijing,London,41,-0.12462813342923733,0.4878048780487805
Busan,London,41,0.05788979256927656,0.5365853658536586
Munich,Sao Paulo,41,-0.09473810439721521,0.6829268292682927
London,Munich,40,-0.2597277259580256,0.525
London,Tokyo,39,-0.016269715590680814,0.5641025641025641
Buenos Aires,Munich,38,-0.26063841344116295,0.5526315789473685
Seoul,Tokyo,38,-0.155896919241235,0.42105263157894735
Paris,Sao Paulo,37,0.5352950065292482,0.5405405405405406
Beijing,Sao Paulo,36,0.19441134114299735,0.6388888888888888
London,Warsaw,36,-0.0383049821659151,0.4722222222222222
Moscow,Sao Paulo,36,0.019445853696423245,0.5833333333333334
Munich,Seoul,36,0.1413492609399788,0.75
Seoul,Taipei,36,0.1145261789654716,0.5555555555555556
Beijing,Seoul,35,-0.07917782763900624,0.6571428571428571
Hong Kong,Seoul,35,-0.07393411213276417,0.45714285714285713
Beijing,Buenos Aires,34,0.38706124131598546,0.6764705882352942
Buenos Aires,Moscow,34,-0.14713464636985152,0.47058823529411764
Buenos Aires,Tokyo,34,0.6796643325452936,0.6470588235294118
Ankara,Sao Paulo,33,-0.022176272561534503,0.5151515151515151
London,Taipei,33,0.14115015865538852,0.6363636363636364
Sao Paulo,Tokyo,33,-0.12090770585423274,0.48484848484848486
Buenos Aires,Taipei,32,-0.14644121083793665,0.53125
Sao Paulo,Taipei,32,-0.010535964867673818,0.5625
Buenos Aires,Busan,31,-0.1370640164812237,0.6129032258064516
London,Madrid,31,0.24308948665377605,0.7096774193548387
London,Qingdao,31,-0.016202326490799276,0.4838709677419355
Sao Paulo,Shenzhen,31,-0.1329210625468269,0.5161290322580645
Seoul,Warsaw,31,0.27823274261568837,0.7419354838709677
Buenos Aires,Shenzhen,30,0.03217738645099605,0.5666666666666667
Madrid,Seoul,30,0.1411739477546642,0.7666666666666667
Hong Kong,London,29,-0.05296808099336845,0.6551724137931034
Ankara,Moscow,28,-0.30182737303041546,0.5714285714285714
Beijing,Moscow,28,0.05434800433377931,0.6428571428571429
Qingdao,Seoul,28,0.15235739129825643,0.4642857142857143
Beijing,Busan,27,-0.09603425843617173,0.37037037037037035
Beijing,Munich,27,0.10934278691518878,0.6666666666666666
Buenos Aires,Warsaw,27,-0.00785629719734674,0.5555555555555556
Busan,Sao Paulo,27,-0.17106234533011283,0.37037037037037035
Moscow,Shenzhen,27,-0.08683508266264345,0.4074074074074074
Seoul,Shanghai,27,-0.38327415912434026,0.5925925925925926
Buenos Aires,Hong Kong,26,0.2281149320969694,0.5384615384615384
Buenos Aires,Madrid,26,0.008732737333328982,0.5384615384615384
Busan,Moscow,26,-0.17219874242976085,0.4230769230769231
Busan,Shenzhen,26,-0.24334484061965964,0.6538461538461539
Istanbul,Seoul,26,-0.05818586385992701,0.46153846153846156
Madrid,Sao Paulo,26,-0.025745385592595208,0.6538461538461539
Moscow,Munich,26,0.5083138758259791,0.6538461538461539
Qingdao,Shenzhen,26,0.16989033334294623,0.5384615384615384
Madrid,Moscow,25,-0.12330313393143434,0.48
Moscow,Paris,25,-0.06148445791771978,0.52
Moscow,Taipei,25,0.08195186901009612,0.52
Moscow,Tokyo,25,0.03300521244255986,0.6
Ankara,Paris,24,0.31426757026148583,0.5
Hong Kong,Sao Paulo,24,-0.29090869361461247,0.5833333333333334
London,Milan,24,0.6149445754738558,0.5833333333333334
Qingdao,Sao Paulo,24,0.08702686931941728,0.75
Shenzhen,Tokyo,24,-0.028139481637978928,0.4583333333333333
Buenos Aires,Istanbul,23,-0.06389230051923067,0.4782608695652174
London,Shanghai,23,-0.1077639161786103,0.5217391304347826
Munich,Paris,23,0.19972357527461568,0.6956521739130435
Paris,Taipei,23,-0.046600939146572956,0.5217391304347826
Sao Paulo,Warsaw,23,-0.0714849024670196,0.6956521739130435
Beijing,Milan,22,-0.18171334814348544,0.5
Beijing,Taipei,22,-0.15368705210546071,0.5
Buenos Aires,Qingdao,22,-0.19866845227181762,0.5454545454545454
Buenos Aires,Shanghai,22,-0.1824209006668259,0.4090909090909091
Busan,Munich,22,-0.06029843333444988,0.45454545454545453
Hong Kong,Shenzhen,22,0.5378813178711703,0.5909090909090909
Istanbul,London,22,0.13400350997935062,0.45454545454545453
Madrid,Munich,22,0.010594833530264516,0.6818181818181818
Moscow,Warsaw,22,0.22781723024381262,0.7272727272727273
Shenzhen,Taipei,22,-0.1116430033286554,0.5909090909090909
Ankara,Munich,21,-0.40307680743030583,0.5238095238095238
Beijing,Paris,21,-0.04156253395100426,0.47619047619047616
Busan,Paris,21,-0.12508477170843707,0.42857142857142855
Munich,Tokyo,21,0.04838100649551062,0.5238095238095238
Paris,Shenzhen,21,0.1648918766908373,0.6190476190476191
Seoul,Toronto,21,-0.14606469086047025,0.5238095238095238
Beijing,Tokyo,20,-0.22473801648497443,0.4
Buenos Aires,Milan,20,-0.4253354437582241,0.35
Busan,Taipei,20,-0.08128745930773781,0.45
Hong Kong,Taipei,20,-0.13922980573688953,0.7
Istanbul,Sao Paulo,20,-0.48198033925894124,0.5
Moscow,Qingdao,20,-0.2102534773451501,0.55
Tokyo,Warsaw,20,-0.02505158718079696,0.65
Ankara,Warsaw,19,0.5726114106091911,0.5263157894736842
Beijing,Madrid,19,-0.11518464698242933,0.5263157894736842
Beijing,Shenzhen,19,-0.05054356426643631,0.42105263157894735
Busan,Tokyo,19,0.14700564394031337,0.5789473684210527
Istanbul,Moscow,19,-0.32476606125085655,0.3157894736842105
Milan,Seoul,19,-0.19230295107090387,0.5789473684210527
Munich,Shenzhen,19,0.14091493273068925,0.631578947368421
Munich,Taipei,19,-0.0600068508741188,0.47368421052631576
Qingdao,Warsaw,19,-0.21803121636113493,0.42105263157894735
Ankara,Madrid,18,-0.04482763955021867,0.6666666666666666
Ankara,Qingdao,18,-0.15177726279433235,0.6666666666666666
Ankara,Tokyo,18,-0.1635207976615305,0.7222222222222222
Moscow,Shanghai,18,0.3442653168001134,0.6111111111111112
Sao Paulo,Shanghai,18,-0.0027541740008755577,0.6666666666666666
Taipei,Tokyo,18,0.26531565497784776,0.8333333333333334
Ankara,Shenzhen,17,-0.04050201152577036,0.6470588235294118
Ankara,Taipei,17,0.0236492929635223,0.8235294117647058
Beijing,Hong Kong,17,0.45742998923653705,0.6470588235294118
Beijing,Qingdao,17,-0.35789295449373615,0.4117647058823529
Buenos Aires,Toronto,17,-0.008636462182869781,0.5294117647058824
Busan,Hong Kong,17,-0.1653757458489424,0.35294117647058826
Busan,Qingdao,17,0.017052404641942295,0.7058823529411765
Hong Kong,Moscow,17,-0.16287183500178612,0.5294117647058824
Hong Kong,Tokyo,17,0.03617734818956892,0.6470588235294118
Milan,Sao Paulo,17,-0.38660795790384905,0.4117647058823529
Milan,Taipei,17,-0.07586389822693183,0.35294117647058826
Munich,Warsaw,17,0.04815274665842984,0.7058823529411765
Paris,Tokyo,17,-0.18631329659137982,0.35294117647058826
Shenzhen,Warsaw,17,0.2428902645537337,0.7647058823529411
Taipei,Warsaw,17,-0.054585036431639505,0.47058823529411764
