capital_at_risk_usd,city,current_zero_value_added_positions,exit_modes,has_transform_affected,no_positions,positions,realized_pnl_v2,roi_v2,sell_before_local_day_end_positions,settled_positions,unit,weather_date,weather_metric,yes_positions
1.3999990006667191,Buenos Aires,0,mostly_or_fully_sold,False,1,1,-0.233276,-0.16662583322481472,1,1,C,2026-01-25,high,0
7.710000000000001,London,0,mostly_or_fully_sold|never_sold,False,1,2,2.5300000000000002,0.32814526588845655,1,2,C,2026-01-25,high,1
1.8699999988823528,New York City,0,never_sold,False,1,2,-1.869999,-0.9999994658383137,0,2,F,2026-01-25,high,1
0.7000000000000001,Seattle,0,never_sold,False,0,1,-0.7,-0.9999999999999999,0,1,F,2026-01-25,high,1
6.689996999662793,Atlanta,0,never_sold,False,1,2,2.781668,0.41579510426390454,0,2,F,2026-01-27,high,1
12.459997999308648,Miami,0,never_sold,False,1,1,-12.459968,-0.9999975923504443,0,1,F,2026-01-28,high,0
22.01959999723229,Ankara,0,mostly_or_fully_sold|never_sold,False,2,4,2.863683,0.1300515450035398,3,4,C,2026-01-31,high,2
21.179997000109395,Buenos Aires,0,mostly_or_fully_sold|never_sold,False,2,2,0.17303599999999997,0.008169783971126447,1,2,C,2026-01-31,high,0
9.999998999440212,London,0,mostly_or_fully_sold|never_sold,False,0,2,-6.570917999999999,-0.6570918657459697,1,2,C,2026-01-31,high,2
1.9999990004734496,Buenos Aires,0,mostly_or_fully_sold,False,1,2,-1.9826030000000001,-0.991301995416332,2,2,C,2026-02-01,high,1
0.9999990012759068,Seoul,0,never_sold,False,0,1,-0.999963,-0.9999639986881379,0,1,C,2026-02-01,high,1
5.236,Atlanta,0,transform_affected,True,1,2,0.18799999999999994,0.035905271199388834,1,2,F,2026-02-02,high,1
0.1,London,0,mostly_or_fully_sold,False,0,1,-0.075,-0.7499999999999999,1,1,C,2026-02-03,high,1
2.3920000000000003,New York City,0,mostly_or_fully_sold,False,0,1,-0.052,-0.021739130434782605,1,1,F,2026-02-03,high,1
0.11599999999999999,Toronto,0,mostly_or_fully_sold,False,0,1,-0.0638,-0.55,1,1,C,2026-02-03,high,1
