capital_at_risk_usd,current_zero_value_added_positions,entry_basis,lead_bin,outcome_filter,realized_pnl_v2,roi_v2,settled_positions,win_rate_v2
1175.3620370982426,56,capital_weighted_entry_local,0-6h,all_outcomes,5.515669000000008,0.004692740471367616,77,0.14285714285714285
27799.996470662398,561,capital_weighted_entry_local,6-12h,all_outcomes,5161.143514,0.18565266795794758,1425,0.2743859649122807
28455.84036540642,731,capital_weighted_entry_local,12-24h,all_outcomes,15342.369623999999,0.5391641725208586,1521,0.2853385930309007
11212.611038696718,193,capital_weighted_entry_local,24-48h,all_outcomes,1953.089948,0.17418689913165977,515,0.32427184466019415
1498.627485210009,19,capital_weighted_entry_local,48-72h,all_outcomes,63.54475399999999,0.0424019675517263,70,0.3
253.5832430748594,6,capital_weighted_entry_local,72h+,all_outcomes,282.421855,1.1137244384741434,26,0.4230769230769231
13.7,0,capital_weighted_entry_local,after_local_day_end,all_outcomes,39.839999999999996,2.908029197080292,2,1.0
304.5,0,capital_weighted_entry_local,unknown,all_outcomes,-5.373195,-0.017645960591133006,9,0.2222222222222222
383.95451038072366,35,capital_weighted_entry_local,0-6h,yes_only,268.59283800000003,0.6995433853183995,48,0.16666666666666666
15122.540533142546,469,capital_weighted_entry_local,6-12h,yes_only,4458.2506920000005,0.2948083149275945,1059,0.2521246458923513
23482.752837027154,724,capital_weighted_entry_local,12-24h,yes_only,15417.226637,0.6565340419838007,1430,0.2692307692307692
7980.9213215909695,191,capital_weighted_entry_local,24-48h,yes_only,2717.323202,0.3404773825609286,475,0.32421052631578945
580.4104452100089,19,capital_weighted_entry_local,48-72h,yes_only,468.902021,0.8078800525899185,58,0.3620689655172414
181.29524307485943,6,capital_weighted_entry_local,72h+,yes_only,275.885976,1.5217496682253417,25,0.4
10.0,0,capital_weighted_entry_local,after_local_day_end,yes_only,38.54,3.854,1,1.0
150.0,0,capital_weighted_entry_local,unknown,yes_only,7.499905,0.04999936666666667,4,0.5
