build_10_before_event_count,build_25_before_event_count,build_50_before_event_count,build_75_before_event_count,build_90_before_event_count,buy_usd_after,buy_usd_before,buy_usd_share_after,buy_usd_share_before,checkpoint,continues_buying_after_event_count,event_count,first_entry_after_event_count,first_entry_before_event_count,scope
1,1,1,1,1,1350.4446500000004,10.0,0.9926494620710956,0.007350537928904346,D1_1200,49,50,49,1,ALL_OBSERVABLE_EVENTS
1,1,1,1,1,1350.4446500000004,10.0,0.9926494620710956,0.007350537928904346,D1_1500,49,50,49,1,ALL_OBSERVABLE_EVENTS
3,2,2,1,1,1322.6916500000004,37.753,0.9722495141570074,0.027750485842992577,D1_1800,49,50,47,3,ALL_OBSERVABLE_EVENTS
29,25,20,14,11,805.998145,554.4465050000001,0.5924519935449045,0.4075480064550954,D0_0800,39,50,21,29,ALL_OBSERVABLE_EVENTS
29,26,20,14,11,796.262315,564.182335,0.5852956347764681,0.4147043652235319,D0_1000,39,50,21,29,ALL_OBSERVABLE_EVENTS
30,27,21,15,12,794.3893949999999,566.055255,0.5839189378266878,0.41608106217331225,D0_1100,38,50,20,30,ALL_OBSERVABLE_EVENTS
31,28,22,16,13,788.1242849999999,572.320365,0.5793137449583119,0.4206862550416881,D0_1200,37,50,19,31,ALL_OBSERVABLE_EVENTS
33,30,24,20,16,733.965615,626.479035,0.5395042091569106,0.46049579084308945,D0_1300,35,50,17,33,ALL_OBSERVABLE_EVENTS
38,36,32,28,21,508.659712,851.7849380000001,0.37389225059615616,0.6261077494038438,D0_1400,29,50,12,38,ALL_OBSERVABLE_EVENTS
41,40,37,31,28,368.3006020000001,992.1440480000001,0.27072075442393045,0.7292792455760696,D0_1500,23,50,9,41,ALL_OBSERVABLE_EVENTS
45,43,40,36,35,173.252344,1187.1923060000004,0.12734979258435833,0.8726502074156417,D0_1600,19,50,5,45,ALL_OBSERVABLE_EVENTS
1,1,1,1,1,1066.4706429999999,10.0,0.9907103829862641,0.009289617013735879,D1_1200,35,36,35,1,ENTRY_TIMELINE_COMPLETE_ONLY
1,1,1,1,1,1066.4706429999999,10.0,0.9907103829862641,0.009289617013735879,D1_1500,35,36,35,1,ENTRY_TIMELINE_COMPLETE_ONLY
3,2,2,1,1,1038.717643,37.753,0.9649289088880431,0.03507109111195706,D1_1800,35,36,33,3,ENTRY_TIMELINE_COMPLETE_ONLY
19,16,14,10,8,653.7518499999999,422.718793,0.6073104308521305,0.3926895691478695,D0_0800,28,36,17,19,ENTRY_TIMELINE_COMPLETE_ONLY
19,17,14,10,8,644.0160199999998,432.454623,0.5982662176510464,0.40173378234895357,D0_1000,28,36,17,19,ENTRY_TIMELINE_COMPLETE_ONLY
20,18,15,11,9,642.1430999999998,434.32754300000005,0.5965263467013098,0.40347365329869017,D0_1100,27,36,16,20,ENTRY_TIMELINE_COMPLETE_ONLY
21,19,16,12,10,635.8779899999998,440.59265300000004,0.5907062994564172,0.4092937005435829,D0_1200,26,36,15,21,ENTRY_TIMELINE_COMPLETE_ONLY
23,21,18,16,13,581.7193199999998,494.751323,0.5403949692290865,0.4596050307709135,D0_1300,24,36,13,23,ENTRY_TIMELINE_COMPLETE_ONLY
26,25,22,20,17,400.91351700000007,675.5571259999999,0.3724333028559888,0.627566697144011,D0_1400,19,36,10,26,ENTRY_TIMELINE_COMPLETE_ONLY
28,27,24,21,20,325.75434000000007,750.7163030000002,0.3026133059162302,0.6973866940837699,D0_1500,17,36,8,28,ENTRY_TIMELINE_COMPLETE_ONLY
32,30,27,23,23,159.698434,916.772209,0.14835372895533763,0.8516462710446625,D0_1600,15,36,4,32,ENTRY_TIMELINE_COMPLETE_ONLY
