activity_exact_match_count,activity_nearest_match_count,activity_no_match_count,buy_fill_count,entry_timeline_reasons,entry_timeline_status,event_key,final_path_classification,pnl_source,pnl_status,position_status,sell_fill_count,sell_pnl_method_agreement,sell_pnl_status,weather_date
7,0,0,4,,ENTRY_TIMELINE_COMPLETE,2026-03-21__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,3,False,SELL_PNL_METHOD_DISAGREEMENT,2026-03-21
4,0,0,1,,ENTRY_TIMELINE_COMPLETE,2026-03-22__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,3,True,SELL_PNL_AVAILABLE,2026-03-22
10,0,0,10,,ENTRY_TIMELINE_COMPLETE,2026-03-23__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-03-23
13,0,0,12,,ENTRY_TIMELINE_COMPLETE,2026-03-24__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,1,False,SELL_PNL_METHOD_DISAGREEMENT,2026-03-24
6,1,0,2,unmatched SELL on asset 21788854130404119294373390333252024478123245249350360413174309416496903980578,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,2026-04-01__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,5,,SELL_PNL_UNAVAILABLE,2026-04-01
13,1,0,9,,ENTRY_TIMELINE_COMPLETE,2026-04-03__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,5,True,SELL_PNL_AVAILABLE,2026-04-03
0,1,0,1,BUY shares differ from lifecycle totalBought on asset 37787514342501262867162808008454110142210702683340947780859932476919514234233,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-04__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,0,,NO_RECORDED_SELL,2026-04-04
4,2,0,2,unmatched SELL on asset 50154875018612476846202703575007039237316003107042368831080496113341083426516|unmatched SELL on asset 46378176533936676838978591057272071916665451734666991591155679041626452737921,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,2026-04-05__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,4,,SELL_PNL_UNAVAILABLE,2026-04-05
0,1,0,1,BUY shares differ from lifecycle totalBought on asset 11280434350960582425632132554259266924006458184321290519244837516563739747778,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-06__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,0,,NO_RECORDED_SELL,2026-04-06
5,4,0,9,BUY shares differ from lifecycle totalBought on asset 71934444207950351021888368239253412740636607151350651195428632637998219265483,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-07__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-04-07
2,7,0,9,BUY shares differ from lifecycle totalBought on asset 68547951473763304109882389761203567487030040752343363060552513479230522078820|BUY shares differ from lifecycle totalBought on asset 5666953703845550667969629495338409841707634833382633673759286536957005327153,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-08__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-04-08
12,7,0,16,unmatched SELL on asset 7314915972641966087518601253963962888209003108027579895112387864197250308361,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,2026-04-10__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,3,,SELL_PNL_UNAVAILABLE,2026-04-10
5,0,0,5,,ENTRY_TIMELINE_COMPLETE,2026-04-11__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-04-11
14,4,0,14,unmatched SELL on asset 10956926699793678265867923869474856358247559887613039244361011186361177855267,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,2026-04-12__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,4,,SELL_PNL_UNAVAILABLE,2026-04-12
0,1,0,1,BUY shares differ from lifecycle totalBought on asset 2440889436754458537683147897033738641120655681463665020180781378180544596244,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-13__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,0,,NO_RECORDED_SELL,2026-04-13
45,1,0,41,,ENTRY_TIMELINE_COMPLETE,2026-04-17__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,5,False,SELL_PNL_METHOD_DISAGREEMENT,2026-04-17
7,0,0,7,,ENTRY_TIMELINE_COMPLETE,2026-04-18__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,0,,NO_RECORDED_SELL,2026-04-18
4,1,0,5,BUY shares differ from lifecycle totalBought on asset 84618465590683122700449603270358188561202438500052331666981963108677058834611,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-19__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,0,,NO_RECORDED_SELL,2026-04-19
22,6,0,25,unmatched SELL on asset 86977481214661899530641217151515216229266930262167926149165919447125010549209|unmatched SELL on asset 96371536502267686537301726698808525574282418782014503838910425283859268243999,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,2026-04-20__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,3,,SELL_PNL_UNAVAILABLE,2026-04-20
17,1,0,18,BUY shares differ from lifecycle totalBought on asset 8431357715887922335909644548709407739447460978954925257664327098581538020739,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-23__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-04-23
0,2,0,2,BUY shares differ from lifecycle totalBought on asset 94196277704027725263040487567652472589554202532984189923983272920988633086842,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,2026-04-25__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-04-25
33,5,0,22,unmatched SELL on asset 74775188654117731706375919392152640207142390515105180636776647163013329515447|unmatched SELL on asset 18759015204797689806424865263975358352874068218247776603309874732213675257358,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,2026-04-27__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,16,,SELL_PNL_UNAVAILABLE,2026-04-27
4,3,0,6,,ENTRY_TIMELINE_COMPLETE,2026-04-28__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,1,True,SELL_PNL_AVAILABLE,2026-04-28
4,0,0,4,,ENTRY_TIMELINE_COMPLETE,2026-04-30__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-04-30
4,0,0,4,,ENTRY_TIMELINE_COMPLETE,2026-05-02__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-05-02
