build_50_event_count,buy_fill_count,buy_shares,buy_usd,first_entry_event_count,first_sell_event_count,grain,last_buy_event_count,sell_fill_count,sell_usd,time_bin
0,0,0,0,0,0,RELATIVE_PHASE,0,0,0,D-2_OR_EARLIER
1,5,50.0,10.0,1,0,RELATIVE_PHASE,1,0,0,D-1_0000_1200
0,0,0,0,0,0,RELATIVE_PHASE,0,0,0,D-1_1200_1500
1,2,87.33,27.753,2,1,RELATIVE_PHASE,0,1,22.12648,D-1_1500_1800
2,8,234.1446,30.246000000000002,3,0,RELATIVE_PHASE,1,0,0,D-1_1800_2400
16,138,7864.692197,486.44750500000004,23,1,RELATIVE_PHASE,9,14,69.59393,D0_0000_0800
0,1,88.79,9.73583,0,0,RELATIVE_PHASE,0,0,0,D0_0800_1000
1,1,148.73,1.87292,1,0,RELATIVE_PHASE,1,0,0,D0_1000_1100
1,2,99.0,6.26511,1,1,RELATIVE_PHASE,1,1,1.56883,D0_1100_1200
2,21,944.71754,54.15867,2,1,RELATIVE_PHASE,2,6,43.795190000000005,D0_1200_1300
8,57,2436.68595,224.922503,5,7,RELATIVE_PHASE,6,13,200.726539,D0_1300_1400
5,60,2484.920156,140.74251,3,3,RELATIVE_PHASE,6,12,335.614715,D0_1400_1500
3,72,2648.506817,195.048258,4,3,RELATIVE_PHASE,4,19,313.673652,D0_1500_1600
10,86,9681.865817,173.252344,5,6,RELATIVE_PHASE,19,15,206.51371,D0_1600_1800
0,0,0,0,0,0,RELATIVE_PHASE,0,2,0.63182,D0_1800_2400
0,0,0,0,0,0,RELATIVE_PHASE,0,1,72.81711,D+1_OR_LATER
0,0,0,0,0,0,HALF_HOUR_CST,0,0,0,00:00—00:30
0,0,0,0,0,0,HALF_HOUR_CST,0,0,0,00:30—01:00
1,16,275.604222,11.975648,1,0,HALF_HOUR_CST,0,0,0,01:00—01:30
1,8,1422.80764,60.196766,3,0,HALF_HOUR_CST,1,0,0,01:30—02:00
0,4,153.05474,15.632444000000001,1,0,HALF_HOUR_CST,0,1,72.81711,02:00—02:30
2,7,616.615,79.83441,4,0,HALF_HOUR_CST,1,0,0,02:30—03:00
3,32,2203.417195,115.30317600000001,5,1,HALF_HOUR_CST,2,14,69.59393,03:00—03:30
4,12,1001.74886,114.01913,5,0,HALF_HOUR_CST,2,0,0,03:30—04:00
2,6,615.14,43.3292,2,0,HALF_HOUR_CST,2,0,0,04:00—04:30
2,9,855.7,33.72511,1,0,HALF_HOUR_CST,0,0,0,04:30—05:00
0,5,351.32,5.15432,0,0,HALF_HOUR_CST,0,0,0,05:00—05:30
0,10,76.7,1.5906,0,0,HALF_HOUR_CST,0,0,0,05:30—06:00
0,15,154.277542,1.215654,1,0,HALF_HOUR_CST,0,0,0,06:00—06:30
0,6,72.0,0.834,0,0,HALF_HOUR_CST,0,0,0,06:30—07:00
1,7,66.266998,3.631047,0,0,HALF_HOUR_CST,1,0,0,07:00—07:30
1,2,30.31,6.0600000000000005,1,0,HALF_HOUR_CST,0,0,0,07:30—08:00
0,4,19.73,3.946,0,0,HALF_HOUR_CST,1,0,0,08:00—08:30
0,0,0,0,0,0,HALF_HOUR_CST,0,0,0,08:30—09:00
0,0,0,0,0,0,HALF_HOUR_CST,0,0,0,09:00—09:30
0,1,88.79,9.73583,0,0,HALF_HOUR_CST,0,0,0,09:30—10:00
0,0,0,0,0,0,HALF_HOUR_CST,0,0,0,10:00—10:30
1,1,148.73,1.87292,1,0,HALF_HOUR_CST,1,0,0,10:30—11:00
0,0,0,0,0,1,HALF_HOUR_CST,0,1,1.56883,11:00—11:30
