event_key,weather_date,timestamp_cst,temperature_bucket,bucket_kind,outcome,price_decimal,price_cents,shares,trade_usd,event_total_yes_buy_usd,fill_share_of_event_yes_buy_usd,bucket_total_yes_buy_usd,bucket_share_of_event_yes_buy_usd,bucket_is_event_dominant_yes,is_event_dominant_yes_bucket,same_event_bought_other_yes_bucket,other_yes_buckets_in_event,same_event_bought_no,no_buys_present_in_event,transaction_hash,later_buy_same_yes_asset,bought_cheaper_adjacent_yes,threshold_ge_30c,threshold_ge_40c,threshold_ge_50c,threshold_ge_55c,threshold_ge_60c,threshold_ge_70c,threshold_ge_80c,entry_timeline_status,strict_pnl_status,strict_event_pnl,entry_path_completeness,strict_pnl_available,strict_pnl,strict_pnl_note
2026-03-24__beijing__high,2026-03-24,2026-03-24T16:16:53+08:00,20°C,exact,YES,0.33,33.0,1.19,0.3927,28.410661,0.0138222761,18.411328,0.6480429301,true,true,true,"[""22°C""]",false,false,0x0ba67e1f8bc63fc8cf74ec0e6a62b41a97330bef8808ae9a1c5cf0fc6cbe4519,true,false,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,UNAVAILABLE,,ENTRY_TIMELINE_COMPLETE,false,,strict PnL unavailable
2026-03-24__beijing__high,2026-03-24,2026-03-24T16:16:53+08:00,20°C,exact,YES,0.3300000059,33.00000059,38.805969,12.80597,28.410661,0.4507452326,18.411328,0.6480429301,true,true,true,"[""22°C""]",false,false,0x12766c96cbed874940f3fd529aed6c22bc5b36293df7059d2a8c754c7c0e0372,true,false,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,UNAVAILABLE,,ENTRY_TIMELINE_COMPLETE,false,,strict PnL unavailable
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:24+08:00,23°C,exact,YES,0.3,30.0,4.7,1.41,52.056088,0.0270861691,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x612f5123d3200bf908a0196405e9b348d75af5b863a6c4137143bbae555ec421,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:30+08:00,23°C,exact,YES,0.3,30.0,3.79,1.137,52.056088,0.0218418257,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x33556f94adad1ebe75784cb9bae228e5e70674441285d1d06805d8f289c3317b,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:30+08:00,23°C,exact,YES,0.3,30.0,5.0,1.5,52.056088,0.0288150735,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x3a82125a97e2208ec1961e2549997e60b59031abfa7d8ffdb3978048a7e07a42,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:38+08:00,23°C,exact,YES,0.3,30.0,5.0,1.5,52.056088,0.0288150735,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x098b52f952f16a932da8ea6bddc6a0ce2731eaf543dbab6e9f2a808b138996e0,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:38+08:00,23°C,exact,YES,0.3,30.0,5.0,1.5,52.056088,0.0288150735,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x1e1d9d80f90d7b1f67c4d32285b24251c152b0209cb4be24b2711c63ef58a74e,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:38+08:00,23°C,exact,YES,0.3,30.0,4.7,1.41,52.056088,0.0270861691,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x9d426f455e724b979432f0a4152990fe8dea7beb06081fea1d9357b9e6e1fe77,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:50+08:00,23°C,exact,YES,0.3,30.0,5.0,1.5,52.056088,0.0288150735,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x1c48a271ed8f7fe2dce30e0bca0685821186f4d12642f715f59f1b896c663f0c,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
2026-04-17__beijing__high,2026-04-17,2026-04-17T15:11:50+08:00,23°C,exact,YES,0.3,30.0,2.03,0.609,52.056088,0.0116989198,48.056088,0.9231598041,true,true,true,"[""24°C""]",true,true,0x21d20d4f64529704d06a9e18a92860c0ba7baf5c5ddaf9072658e58c20c5e0c7,true,true,true,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-81.941662,ENTRY_TIMELINE_COMPLETE,true,-81.941662,event-level authoritative strict PnL; not attributed to this fill
