event_key,weather_date,timestamp_cst,temperature_bucket,bucket_kind,outcome,price_decimal,price_cents,shares,trade_usd,event_total_yes_buy_usd,fill_share_of_event_yes_buy_usd,bucket_total_yes_buy_usd,bucket_share_of_event_yes_buy_usd,bucket_is_event_dominant_yes,is_event_dominant_yes_bucket,same_event_bought_other_yes_bucket,other_yes_buckets_in_event,same_event_bought_no,no_buys_present_in_event,transaction_hash,later_buy_same_yes_asset,bought_more_expensive_adjacent_yes,threshold_ge_30c,threshold_ge_40c,threshold_ge_50c,threshold_ge_55c,threshold_ge_60c,threshold_ge_70c,threshold_ge_80c,entry_timeline_status,strict_pnl_status,strict_event_pnl,entry_path_completeness,strict_pnl_available,strict_pnl,strict_pnl_note
2026-03-21__beijing__high,2026-03-21,2026-03-21T15:57:53+08:00,16°C,exact,YES,0.0108452683,1.08452683,205.0,2.22328,8.20288,0.271036514,8.20288,1.0,true,true,false,[],true,true,0x21c60f57400a9ca2da847ad95e5f8892597e9752a101cd51db3d1401c69a77fd,true,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-5.27252,ENTRY_TIMELINE_COMPLETE,true,-5.27252,event-level authoritative strict PnL; not attributed to this fill
2026-03-21__beijing__high,2026-03-21,2026-03-21T16:09:15+08:00,16°C,exact,YES,0.015,1.5,50.0,0.75,8.20288,0.0914313022,8.20288,1.0,true,true,false,[],true,true,0x413f332fd5b1f3e8b37a79dcdc74454ec20b8fa400d29750b7f2b7dacc93edff,true,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-5.27252,ENTRY_TIMELINE_COMPLETE,true,-5.27252,event-level authoritative strict PnL; not attributed to this fill
2026-03-21__beijing__high,2026-03-21,2026-03-21T16:15:19+08:00,16°C,exact,YES,0.0198859229,1.98859229,262.98,5.2296,8.20288,0.6375321838,8.20288,1.0,true,true,false,[],true,true,0x42ed89c6af0cdfbd129dbe305a6a7d5e5fb9675d94d24202c336828f5976a99d,false,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,AVAILABLE,-5.27252,ENTRY_TIMELINE_COMPLETE,true,-5.27252,event-level authoritative strict PnL; not attributed to this fill
2026-03-24__beijing__high,2026-03-24,2026-03-24T16:38:19+08:00,20°C,exact,YES,0.05,5.0,35.36,1.768,28.410661,0.0622301607,18.411328,0.6480429301,true,true,true,"[""22°C""]",false,false,0x20011b28cb45873f0f28e3697992e45d5f04b1a744c19c94d9229473f3aa6966,true,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,UNAVAILABLE,,ENTRY_TIMELINE_COMPLETE,false,,strict PnL unavailable
2026-03-24__beijing__high,2026-03-24,2026-03-24T16:44:29+08:00,20°C,exact,YES,0.05,5.0,64.64,3.232,28.410661,0.1137601128,18.411328,0.6480429301,true,true,true,"[""22°C""]",false,false,0x79a0ebc14daef69f6ec8929a5df7598968d15680f8fe34a54f9fa2764e87e67d,false,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,UNAVAILABLE,,ENTRY_TIMELINE_COMPLETE,false,,strict PnL unavailable
2026-04-01__beijing__high,2026-04-01,2026-04-01T02:37:47+08:00,20°C,exact,YES,0.0343063182,3.43063182,120.92,4.14832,25.14832,0.16495416,4.14832,0.16495416,false,false,true,"[""19°C""]",false,false,0x5f540326e7272e815e3087632cb191a49a0c2cb633196e9f38e751bee49dbf94,false,true,false,false,false,false,false,false,false,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,UNAVAILABLE,,ENTRY_TIMELINE_PARTIAL_UNMATCHED_SELL,false,,strict PnL unavailable
2026-04-03__beijing__high,2026-04-03,2026-04-03T12:23:35+08:00,25°C,exact,YES,0.083,8.3,0.92,0.07636,15.568509,0.0049047728,4.8376,0.31072982,false,false,true,"[""22°C""]",false,false,0x04a1359848842a746f3f223c1dabef537b319ae936350c7687131baa0dda8be0,true,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,UNAVAILABLE,,ENTRY_TIMELINE_COMPLETE,false,,strict PnL unavailable
2026-04-03__beijing__high,2026-04-03,2026-04-03T12:23:43+08:00,25°C,exact,YES,0.05,5.0,14.12,0.706,15.568509,0.0453479521,4.8376,0.31072982,false,false,true,"[""22°C""]",false,false,0x16921a808d9f200a3b858ab175e79239b3ba226f1985c756167b1af04fa44ab8,true,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,UNAVAILABLE,,ENTRY_TIMELINE_COMPLETE,false,,strict PnL unavailable
2026-04-03__beijing__high,2026-04-03,2026-04-03T12:23:47+08:00,25°C,exact,YES,0.0817918516,8.17918516,45.02754,4.05524,15.568509,0.2604770951,4.8376,0.31072982,false,false,true,"[""22°C""]",false,false,0x936f076af2cca24f594b4b996cdca4feb488301c507044b8ca0f7e5b8073847f,false,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_COMPLETE,UNAVAILABLE,,ENTRY_TIMELINE_COMPLETE,false,,strict PnL unavailable
2026-04-07__beijing__high,2026-04-07,2026-04-06T20:38:55+08:00,18°C,exact,YES,0.075,7.5,19.965,1.65,21.47993,0.0768158928,5.22,0.2430175517,false,false,true,"[""15°C"", ""14°C"", ""17°C""]",false,false,0x18d86b02ec32f427c136c4f4a0d31aa2860cc800e2a4000b45c10bdd49cda318,true,false,false,false,false,false,false,false,false,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,UNAVAILABLE,,ENTRY_TIMELINE_PARTIAL_RECONCILIATION,false,,strict PnL unavailable
