event_key,weather_date,city,weather_metric,station_status,condition_id,event_slug,slug,asset,outcome,temperature_bucket,bucket_kind,bucket_low,bucket_high,unit,timestamp_epoch,public_trade_time_utc,public_trade_time_cst,relative_phase,half_hour_bin,side,price,shares,trade_usd,trade_usd_source,transaction_hash,source_repository_trade,source_repository_activity,source_current_public_api,source_row_number,activity_match_status,previous_same_bucket_buy_price,price_change_vs_previous_buy,price_add_class,pretrade_average_cost,price_change_vs_average_cost,average_cost_add_class,outcome_previous_buy_price,outcome_price_add_class,outcome_pretrade_average_cost,outcome_average_cost_add_class,no_price,price_decimal,price_cents,implied_yes_equivalent_price,implied_yes_equivalent_note,price_band
2026-03-21__beijing__high,2026-03-21,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x5f7fb991c75065263182f179c4c7486a3ab125b85400503b7e99a1100bd93c9f,highest-temperature-in-beijing-on-march-21-2026,highest-temperature-in-beijing-on-march-21-2026-15c,70433506698981736932746168478241153490339462094607780060941672831976623700586,No,15°C,exact,15.0,15.0,C,1774081311,2026-03-21T08:21:51+00:00,2026-03-21T16:21:51+08:00,D0_1600_1800,16:00—16:30,BUY,0.0426,25.0,1.065,activity_usdcSize,0xe63e790b9ceca132aefad5753b481c5612b19d54aacbb11dd28f71ae3b8bde42,True,True,True,weather_trades_normalized.csv:2984|api_trades:13270|activity.csv:3351|api_activity:3350,EXACT_SIZE_MATCH,,,,,,,,,,,0.0426,0.0426,4.26,0.9574,"descriptive binary complement only; excludes spread, fees, and depth",2—5美分
2026-03-23__beijing__high,2026-03-23,Beijing,high,BEIJING_STATION_UNCONFIRMED,0xe97839b1f93307ef4adbe8eb61cc485b124559da58c1f21a414e2073b5220c2b,highest-temperature-in-beijing-on-march-23-2026,highest-temperature-in-beijing-on-march-23-2026-18c,55388984947247115623316776348470316125607661448384262499475111567766645913459,No,18°C,exact,18.0,18.0,C,1774245587,2026-03-23T05:59:47+00:00,2026-03-23T13:59:47+08:00,D0_1300_1400,13:30—14:00,BUY,0.45,9.09,4.0905,activity_usdcSize,0xc4d6faf1229a2b460159813972469f44393c4dc654b1e50de6bffc7c03aeb355,True,True,True,weather_trades_normalized.csv:3199|api_trades:13111|activity.csv:3568|api_activity:3567,EXACT_SIZE_MATCH,,,,,,,,,,,0.45,0.45,45.0,0.55,"descriptive binary complement only; excludes spread, fees, and depth",40—50美分
2026-04-10__beijing__high,2026-04-10,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x0c6c01255898b3c29554ffbb6c62c9b078c8a4f38ce103eeda88c2a8e71804cf,highest-temperature-in-beijing-on-april-10-2026,highest-temperature-in-beijing-on-april-10-2026-29c,40791284141529605921444406089162673339384550568540045038735751108147440150452,No,29°C,exact,29.0,29.0,C,1775805539,2026-04-10T07:18:59+00:00,2026-04-10T15:18:59+08:00,D0_1500_1600,15:00—15:30,BUY,0.074,50.0,3.7,activity_usdcSize,0x707bc75be55b1af30aa56e45628a908bc1ea6ed2d3b6c6510ea7a3b8cae4d74e,True,True,True,weather_trades_normalized.csv:5709|api_trades:11020|activity.csv:6223|api_activity:6222,EXACT_SIZE_MATCH,0.02,0.05399999999999999,PRICE_UP_ADD,0.02,0.05399999999999999,ABOVE_AVERAGE_COST_ADD,,,,,0.074,0.074,7.3999999999999995,0.926,"descriptive binary complement only; excludes spread, fees, and depth",5—10美分
2026-04-10__beijing__high,2026-04-10,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x0c6c01255898b3c29554ffbb6c62c9b078c8a4f38ce103eeda88c2a8e71804cf,highest-temperature-in-beijing-on-april-10-2026,highest-temperature-in-beijing-on-april-10-2026-29c,40791284141529605921444406089162673339384550568540045038735751108147440150452,No,29°C,exact,29.0,29.0,C,1775805783,2026-04-10T07:23:03+00:00,2026-04-10T15:23:03+08:00,D0_1500_1600,15:00—15:30,BUY,0.055,90.55,5.5,activity_usdcSize,0xa23a0243a3d9e7c4ba0ba04195b84663608bd445eb49ad16f9b034f24da4a405,True,True,True,weather_trades_normalized.csv:5711|api_trades:11018|activity.csv:6225|api_activity:6224,NEAREST_SIZE_MATCH,0.074,-0.018999999999999996,PRICE_DOWN_ADD,0.038,0.017,ABOVE_AVERAGE_COST_ADD,0.074,PRICE_DOWN_ADD,0.07400000000000001,BELOW_AVERAGE_COST_ADD,0.055,0.055,5.5,0.945,"descriptive binary complement only; excludes spread, fees, and depth",5—10美分
2026-04-10__beijing__high,2026-04-10,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x0c6c01255898b3c29554ffbb6c62c9b078c8a4f38ce103eeda88c2a8e71804cf,highest-temperature-in-beijing-on-april-10-2026,highest-temperature-in-beijing-on-april-10-2026-29c,40791284141529605921444406089162673339384550568540045038735751108147440150452,No,29°C,exact,29.0,29.0,C,1775810805,2026-04-10T08:46:45+00:00,2026-04-10T16:46:45+08:00,D0_1600_1800,16:30—17:00,BUY,0.02,28.413,0.63,activity_usdcSize,0x76148ad8fae84c7a76813b3d69def225979192cc562f0a90033f428baebbc462,True,True,True,weather_trades_normalized.csv:5719|api_trades:11011|activity.csv:6233|api_activity:6232,NEAREST_SIZE_MATCH,0.055,-0.035,PRICE_DOWN_ADD,0.04655996674288089,-0.02655996674288089,BELOW_AVERAGE_COST_ADD,0.055,PRICE_DOWN_ADD,0.0654571326929918,BELOW_AVERAGE_COST_ADD,0.02,0.02,2.0,0.98,"descriptive binary complement only; excludes spread, fees, and depth",2—5美分
2026-04-10__beijing__high,2026-04-10,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x0c6c01255898b3c29554ffbb6c62c9b078c8a4f38ce103eeda88c2a8e71804cf,highest-temperature-in-beijing-on-april-10-2026,highest-temperature-in-beijing-on-april-10-2026-29c,40791284141529605921444406089162673339384550568540045038735751108147440150452,No,29°C,exact,29.0,29.0,C,1775810829,2026-04-10T08:47:09+00:00,2026-04-10T16:47:09+08:00,D0_1600_1800,16:30—17:00,BUY,0.02,50.0,1.0,activity_usdcSize,0xf63a7593e503b8821caaa451c2c07b8056fea381ea2184c89e3f709c2773c83f,True,True,True,weather_trades_normalized.csv:5720|api_trades:11010|activity.csv:6234|api_activity:6233,EXACT_SIZE_MATCH,0.02,0.0,PRICE_FLAT_ADD,0.043983744976074775,-0.023983744976074774,BELOW_AVERAGE_COST_ADD,0.02,PRICE_FLAT_ADD,0.05817841776010132,BELOW_AVERAGE_COST_ADD,0.02,0.02,2.0,0.98,"descriptive binary complement only; excludes spread, fees, and depth",2—5美分
2026-04-10__beijing__high,2026-04-10,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x0c6c01255898b3c29554ffbb6c62c9b078c8a4f38ce103eeda88c2a8e71804cf,highest-temperature-in-beijing-on-april-10-2026,highest-temperature-in-beijing-on-april-10-2026-29c,40791284141529605921444406089162673339384550568540045038735751108147440150452,No,29°C,exact,29.0,29.0,C,1775811447,2026-04-10T08:57:27+00:00,2026-04-10T16:57:27+08:00,D0_1600_1800,16:30—17:00,BUY,0.02,28.82,0.5764,activity_usdcSize,0xb89a3e591ca6f1e365812010046a4c826d742c264558eabbbe9afb085fe0888b,True,True,True,weather_trades_normalized.csv:5726|api_trades:11004|activity.csv:6240|api_activity:6239,EXACT_SIZE_MATCH,0.02,0.0,PRICE_FLAT_ADD,0.04022410122804212,-0.020224101228042118,BELOW_AVERAGE_COST_ADD,0.02,PRICE_FLAT_ADD,0.04946041111968688,BELOW_AVERAGE_COST_ADD,0.02,0.02,2.0,0.98,"descriptive binary complement only; excludes spread, fees, and depth",2—5美分
2026-04-13__beijing__high,2026-04-13,Beijing,high,BEIJING_STATION_UNCONFIRMED,0xc5a0b55b4fa82c5d0ce0ab0632633943ef69c4586c32d7fb48832bed0f78a974,highest-temperature-in-beijing-on-april-13-2026,highest-temperature-in-beijing-on-april-13-2026-18c,2440889436754458537683147897033738641120655681463665020180781378180544596244,No,18°C,exact,18.0,18.0,C,1776068219,2026-04-13T08:16:59+00:00,2026-04-13T16:16:59+08:00,D0_1600_1800,16:00—16:30,BUY,0.058,66.00566,4.22646,activity_usdcSize,0xd9657f7f1cf48f5ae42482b19492924b76bbce9660ace6fcfe1f851a8ad24522,True,True,True,weather_trades_normalized.csv:6213|api_trades:10649|activity.csv:6755|api_activity:6754,NEAREST_SIZE_MATCH,,,,,,,,,,,0.058,0.058,5.800000000000001,0.942,"descriptive binary complement only; excludes spread, fees, and depth",5—10美分
2026-04-17__beijing__high,2026-04-17,Beijing,high,BEIJING_STATION_UNCONFIRMED,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,No,22°C,exact,22.0,22.0,C,1776409798,2026-04-17T07:09:58+00:00,2026-04-17T15:09:58+08:00,D0_1500_1600,15:00—15:30,BUY,0.468,23.67,11.7,activity_usdcSize,0x2be74d33b2e16ef00ed9bfc45daf1aecd51872560e37c19b09d67b9e767ae71f,True,True,True,weather_trades_normalized.csv:6860|api_trades:10116|activity.csv:7431|api_activity:7430,NEAREST_SIZE_MATCH,,,,,,,,,,,0.468,0.468,46.800000000000004,0.532,"descriptive binary complement only; excludes spread, fees, and depth",40—50美分
2026-04-17__beijing__high,2026-04-17,Beijing,high,BEIJING_STATION_UNCONFIRMED,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,No,22°C,exact,22.0,22.0,C,1776410894,2026-04-17T07:28:14+00:00,2026-04-17T15:28:14+08:00,D0_1500_1600,15:00—15:30,BUY,0.1,100.0,10.0,activity_usdcSize,0x884fa2a9dd6192d9a9f27851b17309feda6fbb199dce34a8adeb98cc945509fd,True,True,True,weather_trades_normalized.csv:6887|api_trades:10092|activity.csv:7458|api_activity:7457,EXACT_SIZE_MATCH,0.468,-0.368,PRICE_DOWN_ADD,0.494296577946768,-0.394296577946768,BELOW_AVERAGE_COST_ADD,0.468,PRICE_DOWN_ADD,0.494296577946768,BELOW_AVERAGE_COST_ADD,0.1,0.1,10.0,0.9,"descriptive binary complement only; excludes spread, fees, and depth",10—15美分
