outcome,price_band,lower_bound_decimal,upper_bound_decimal,lower_bound_cents,upper_bound_cents,buy_fill_count,buy_transaction_hash_count,weather_event_count,temperature_asset_count,buy_shares,buy_usd,buy_usd_share,buy_fill_share,average_fill_price,median_fill_price,max_single_fill_buy_usd,max_single_event_buy_usd,average_implied_yes_equivalent_price,median_implied_yes_equivalent_price
NO,0—1美分,0.0,0.01,0.0,1.0,9,9,3,3,575.46744,3.439242,0.014144422778510265,0.16981132075471697,0.004109332722222222,0.003,1.17957,1.92579,0.9958906672777778,0.997
NO,1—2美分,0.01,0.02,1.0,2.0,11,11,8,8,2296.085956,30.059186,0.12362312252579982,0.20754716981132076,0.013438582609090909,0.014,5.97891,10.478909999999999,0.9865614173909091,0.986
NO,2—5美分,0.02,0.05,2.0,5.0,8,8,6,6,700.133,21.50017,0.08842282523004867,0.1509433962264151,0.027136335475,0.0234,8.60796,8.60796,0.972863664525,0.9765999999999999
NO,5—10美分,0.05,0.1,5.0,10.0,10,10,6,6,458.250702,30.546904,0.12562893938564554,0.18867924528301888,0.06568380668,0.07,5.5,9.2,0.9343161933199999,0.9299999999999999
NO,10—15美分,0.1,0.15,10.0,15.0,6,6,2,2,273.26188,29.344348,0.12068323900200455,0.11320754716981132,0.10789393940000001,0.1,10.0,23.564188,0.8921060606000001,0.9
NO,15—20美分,0.15,0.2,15.0,20.0,3,3,1,1,100.0,15.0,0.06168985540350285,0.05660377358490566,0.15,0.15,10.437,15.0,0.85,0.85
NO,20—30美分,0.2,0.3,20.0,30.0,0,0,0,0,0,0,0.0,0.0,,,0,0,,
NO,30—40美分,0.3,0.4,30.0,40.0,2,2,1,1,50.0,15.5,0.06374618391695296,0.03773584905660377,0.31,0.31,13.95,15.5,0.69,0.69
NO,40—50美分,0.4,0.5,40.0,50.0,3,3,3,3,153.76,71.22521,0.2929248603989417,0.05660377358490566,0.45459504133333334,0.45,55.43471,55.43471,0.5454049586666667,0.55
NO,50—60美分,0.5,0.6,50.0,60.0,1,1,1,1,43.65,26.53675,0.10913655135859363,0.018867924528301886,0.5959037801,0.5959037801,26.53675,26.53675,0.4040962199,0.4040962199
NO,60—70美分,0.6,0.7,60.0,70.0,0,0,0,0,0,0,0.0,0.0,,,0,0,,
NO,70—80美分,0.7,0.8,70.0,80.0,0,0,0,0,0,0,0.0,0.0,,,0,0,,
NO,80—90美分,0.8,0.9,80.0,90.0,0,0,0,0,0,0,0.0,0.0,,,0,0,,
NO,90—100美分,0.9,1.0,90.0,100.0,0,0,0,0,0,0,0.0,0.0,,,0,0,,
