event_key,weather_date,city,weather_metric,station_status,condition_id,event_slug,slug,asset,outcome,temperature_bucket,bucket_kind,bucket_low,bucket_high,unit,timestamp_epoch,public_trade_time_utc,public_trade_time_cst,relative_phase,half_hour_bin,side,price,shares,trade_usd,trade_usd_source,transaction_hash,source_repository_trade,source_repository_activity,source_current_public_api,source_row_number,activity_match_status,previous_same_bucket_buy_price,price_change_vs_previous_buy,price_add_class,pretrade_average_cost,price_change_vs_average_cost,average_cost_add_class,outcome_previous_buy_price,outcome_price_add_class,outcome_pretrade_average_cost,outcome_average_cost_add_class,price_decimal,price_cents,price_band
2026-03-21__beijing__high,2026-03-21,Beijing,high,BEIJING_STATION_UNCONFIRMED,0xe2066c20cc7062014fcf885457a55daf0c0218abb0b8162dfaf434246cc10320,highest-temperature-in-beijing-on-march-21-2026,highest-temperature-in-beijing-on-march-21-2026-16c,101327624597192588770627317317585395881919508317685485775984447062919691797366,Yes,16°C,exact,16.0,16.0,C,1774079873,2026-03-21T07:57:53+00:00,2026-03-21T15:57:53+08:00,D0_1500_1600,15:30—16:00,BUY,0.0108452683,205.0,2.22328,activity_usdcSize,0x21c60f57400a9ca2da847ad95e5f8892597e9752a101cd51db3d1401c69a77fd,True,True,True,weather_trades_normalized.csv:2978|api_trades:13274|activity.csv:3345|api_activity:3344,EXACT_SIZE_MATCH,,,,,,,,,,,0.0108452683,1.08452683,1—2美分
2026-03-21__beijing__high,2026-03-21,Beijing,high,BEIJING_STATION_UNCONFIRMED,0xe2066c20cc7062014fcf885457a55daf0c0218abb0b8162dfaf434246cc10320,highest-temperature-in-beijing-on-march-21-2026,highest-temperature-in-beijing-on-march-21-2026-16c,101327624597192588770627317317585395881919508317685485775984447062919691797366,Yes,16°C,exact,16.0,16.0,C,1774080555,2026-03-21T08:09:15+00:00,2026-03-21T16:09:15+08:00,D0_1600_1800,16:00—16:30,BUY,0.015,50.0,0.75,activity_usdcSize,0x413f332fd5b1f3e8b37a79dcdc74454ec20b8fa400d29750b7f2b7dacc93edff,True,True,True,weather_trades_normalized.csv:2982|api_trades:13272|activity.csv:3349|api_activity:3348,EXACT_SIZE_MATCH,0.0108452683,0.004154731699999999,PRICE_FLAT_ADD,0.010845268292682926,0.004154731707317073,NEAR_AVERAGE_COST_ADD,0.0108452683,PRICE_FLAT_ADD,0.010845268292682926,NEAR_AVERAGE_COST_ADD,0.015,1.5,1—2美分
2026-03-21__beijing__high,2026-03-21,Beijing,high,BEIJING_STATION_UNCONFIRMED,0xe2066c20cc7062014fcf885457a55daf0c0218abb0b8162dfaf434246cc10320,highest-temperature-in-beijing-on-march-21-2026,highest-temperature-in-beijing-on-march-21-2026-16c,101327624597192588770627317317585395881919508317685485775984447062919691797366,Yes,16°C,exact,16.0,16.0,C,1774080919,2026-03-21T08:15:19+00:00,2026-03-21T16:15:19+08:00,D0_1600_1800,16:00—16:30,BUY,0.0198859229,262.98,5.2296,activity_usdcSize,0x42ed89c6af0cdfbd129dbe305a6a7d5e5fb9675d94d24202c336828f5976a99d,True,True,True,weather_trades_normalized.csv:2983|api_trades:13271|activity.csv:3350|api_activity:3349,EXACT_SIZE_MATCH,0.015,0.004885922899999999,PRICE_FLAT_ADD,0.01165992156862745,0.008226001331372548,NEAR_AVERAGE_COST_ADD,0.015,PRICE_FLAT_ADD,0.01165992156862745,NEAR_AVERAGE_COST_ADD,0.0198859229,1.98859229,1—2美分
2026-03-22__beijing__high,2026-03-22,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x9e585664df9833d31a8c89030fcae386c9715d09111accae5ff54691420f8222,highest-temperature-in-beijing-on-march-22-2026,highest-temperature-in-beijing-on-march-22-2026-23c,19912276949611129066774628734532505517558474841764524134012885712925491947816,Yes,23°C,exact,23.0,23.0,C,1774093399,2026-03-21T11:43:19+00:00,2026-03-21T19:43:19+08:00,D-1_1800_2400,19:30—20:00,BUY,0.14,100.0,14.0,activity_usdcSize,0xef27e59a585110db83e7a6813c27f23dbd81a35ed0372e3b301ffd9e36bf680d,True,True,True,weather_trades_normalized.csv:3000|api_trades:13258|activity.csv:3367|api_activity:3366,EXACT_SIZE_MATCH,,,,,,,,,,,0.14,14.000000000000002,10—15美分
2026-03-23__beijing__high,2026-03-23,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x1aa4972fc4c2fc59b6e63625e3e49f53700aba001319f29ecc2fc5ea213c342c,highest-temperature-in-beijing-on-march-23-2026,highest-temperature-in-beijing-on-march-23-2026-20c,28425869616639387284964533514194193035308866588905593673931899342905060807831,Yes,20°C,exact,20.0,20.0,C,1774170869,2026-03-22T09:14:29+00:00,2026-03-22T17:14:29+08:00,D-1_1500_1800,17:00—17:30,BUY,0.1106884543,37.33,4.132,activity_usdcSize,0x69d5d7cde16f9b69b273ddff1e3c12459392388b3555d471865498045ac224de,True,True,True,weather_trades_normalized.csv:3051|api_trades:13224|activity.csv:3419|api_activity:3418,EXACT_SIZE_MATCH,,,,,,,,,,,0.1106884543,11.06884543,10—15美分
2026-03-23__beijing__high,2026-03-23,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x1aa4972fc4c2fc59b6e63625e3e49f53700aba001319f29ecc2fc5ea213c342c,highest-temperature-in-beijing-on-march-23-2026,highest-temperature-in-beijing-on-march-23-2026-20c,28425869616639387284964533514194193035308866588905593673931899342905060807831,Yes,20°C,exact,20.0,20.0,C,1774190611,2026-03-22T14:43:31+00:00,2026-03-22T22:43:31+08:00,D-1_1800_2400,22:30—23:00,BUY,0.14,35.0,4.9,activity_usdcSize,0x164d64af4577ffe1d011caf2faf6f57e096af5962410392634ceb09f23532aa4,True,True,True,weather_trades_normalized.csv:3085|api_trades:13194|activity.csv:3453|api_activity:3452,EXACT_SIZE_MATCH,0.1106884543,0.02931154570000001,PRICE_UP_ADD,0.11068845432627913,0.02931154567372088,ABOVE_AVERAGE_COST_ADD,0.1106884543,PRICE_UP_ADD,0.11068845432627913,ABOVE_AVERAGE_COST_ADD,0.14,14.000000000000002,10—15美分
2026-03-23__beijing__high,2026-03-23,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x1aa4972fc4c2fc59b6e63625e3e49f53700aba001319f29ecc2fc5ea213c342c,highest-temperature-in-beijing-on-march-23-2026,highest-temperature-in-beijing-on-march-23-2026-20c,28425869616639387284964533514194193035308866588905593673931899342905060807831,Yes,20°C,exact,20.0,20.0,C,1774209723,2026-03-22T20:02:03+00:00,2026-03-23T04:02:03+08:00,D0_0000_0800,04:00—04:30,BUY,0.15,5.0,0.75,activity_usdcSize,0xe4f63b07f2efc42b8d3ab4b4c387b2939614e504167250b003f341109f1bc48e,True,True,True,weather_trades_normalized.csv:3148|api_trades:13156|activity.csv:3516|api_activity:3515,EXACT_SIZE_MATCH,0.14,0.009999999999999981,PRICE_UP_ADD,0.12487211392230058,0.02512788607769942,ABOVE_AVERAGE_COST_ADD,0.14,PRICE_UP_ADD,0.12487211392230058,ABOVE_AVERAGE_COST_ADD,0.15,15.0,15—20美分
2026-03-23__beijing__high,2026-03-23,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x1aa4972fc4c2fc59b6e63625e3e49f53700aba001319f29ecc2fc5ea213c342c,highest-temperature-in-beijing-on-march-23-2026,highest-temperature-in-beijing-on-march-23-2026-20c,28425869616639387284964533514194193035308866588905593673931899342905060807831,Yes,20°C,exact,20.0,20.0,C,1774216397,2026-03-22T21:53:17+00:00,2026-03-23T05:53:17+08:00,D0_0000_0800,05:30—06:00,BUY,0.15,5.6,0.84,activity_usdcSize,0xd89e9db3059d9170a7a57f3858e051d67d07e14c96f2ba59db9101c37a8bf42d,True,True,True,weather_trades_normalized.csv:3159|api_trades:13149|activity.csv:3527|api_activity:3526,EXACT_SIZE_MATCH,0.15,0.0,PRICE_FLAT_ADD,0.12649683175998966,0.023503168240010336,ABOVE_AVERAGE_COST_ADD,0.15,PRICE_FLAT_ADD,0.12649683175998966,ABOVE_AVERAGE_COST_ADD,0.15,15.0,15—20美分
2026-03-23__beijing__high,2026-03-23,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x1aa4972fc4c2fc59b6e63625e3e49f53700aba001319f29ecc2fc5ea213c342c,highest-temperature-in-beijing-on-march-23-2026,highest-temperature-in-beijing-on-march-23-2026-20c,28425869616639387284964533514194193035308866588905593673931899342905060807831,Yes,20°C,exact,20.0,20.0,C,1774220497,2026-03-22T23:01:37+00:00,2026-03-23T07:01:37+08:00,D0_0000_0800,07:00—07:30,BUY,0.15,5.68,0.852,activity_usdcSize,0xfa2372136fed03830fd35fe3b3564b0e6c88f6ec62c0644fb5e5d6baee2e88b0,True,True,True,weather_trades_normalized.csv:3161|api_trades:13147|activity.csv:3529|api_activity:3528,EXACT_SIZE_MATCH,0.15,0.0,PRICE_FLAT_ADD,0.12808392620282166,0.02191607379717833,ABOVE_AVERAGE_COST_ADD,0.15,PRICE_FLAT_ADD,0.12808392620282166,ABOVE_AVERAGE_COST_ADD,0.15,15.0,15—20美分
2026-03-23__beijing__high,2026-03-23,Beijing,high,BEIJING_STATION_UNCONFIRMED,0x1aa4972fc4c2fc59b6e63625e3e49f53700aba001319f29ecc2fc5ea213c342c,highest-temperature-in-beijing-on-march-23-2026,highest-temperature-in-beijing-on-march-23-2026-20c,28425869616639387284964533514194193035308866588905593673931899342905060807831,Yes,20°C,exact,20.0,20.0,C,1774221185,2026-03-22T23:13:05+00:00,2026-03-23T07:13:05+08:00,D0_0000_0800,07:00—07:30,BUY,0.15,3.34,0.501,activity_usdcSize,0xabcbdaecd2567cb9ebd8116682d4e6ec6dc217619ea18c5cff1277d1dae772bf,True,True,True,weather_trades_normalized.csv:3162|api_trades:13145|activity.csv:3530|api_activity:3529,EXACT_SIZE_MATCH,0.15,0.0,PRICE_FLAT_ADD,0.12948877101907236,0.020511228980927637,ABOVE_AVERAGE_COST_ADD,0.15,PRICE_FLAT_ADD,0.12948877101907236,ABOVE_AVERAGE_COST_ADD,0.15,15.0,15—20美分
