event_key,city,weather_date_local,weather_metric,condition_id,event_slug,slug,token_id,asset,temperature_bucket,bucket_kind,bucket_low,bucket_high,unit,public_record_timestamp_utc,public_record_timestamp_cst,relative_day,time_phase,side,price,shares,trade_usd,trade_usd_source,transaction_hash,source_file,source_row_number,raw_transaction_hash,cumulative_buy_usd_event,cumulative_buy_usd_bucket,cumulative_buy_shares_bucket,cumulative_sell_shares_bucket,remaining_shares_bucket,weighted_average_buy_price_bucket,weighted_average_sell_price_bucket,previous_buy_price_bucket,price_change_vs_previous_buy,price_change_vs_pretrade_weighted_average_cost,add_action_classification
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,103113694648185132606185444647540249008618111629827479756258635929504405284146,103113694648185132606185444647540249008618111629827479756258635929504405284146,4°C,exact,4.0,4.0,C,2026-02-09T21:42:03+00:00,2026-02-10T05:42:03+08:00,D-1,D-1_EARLY,BUY,0.975,50.04,48.789,usdcSize,0xf9f5598691bc7171348bbee8207d73c5aa1c26178c17204ab0df063b2c0b9121,data/raw/trades.csv,184,0xf9f5598691bc7171348bbee8207d73c5aa1c26178c17204ab0df063b2c0b9121,48.789,48.789,50.04,0.0,50.04,0.9750000000000001,,,,,NEW_BUCKET_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,103113694648185132606185444647540249008618111629827479756258635929504405284146,103113694648185132606185444647540249008618111629827479756258635929504405284146,4°C,exact,4.0,4.0,C,2026-02-09T21:42:35+00:00,2026-02-10T05:42:35+08:00,D-1,D-1_EARLY,BUY,0.955,5.0,4.775,usdcSize,0xdc09ba3bef23ec80773fe3f085695b7298da7512f096718e17a80d94026ae534,data/raw/trades.csv,185,0xdc09ba3bef23ec80773fe3f085695b7298da7512f096718e17a80d94026ae534,53.564,53.564,55.04,0.0,55.04,0.9731831395348838,,0.975,-0.02,-0.02000000000000013,PRICE_DOWN_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,103113694648185132606185444647540249008618111629827479756258635929504405284146,103113694648185132606185444647540249008618111629827479756258635929504405284146,4°C,exact,4.0,4.0,C,2026-02-09T21:43:31+00:00,2026-02-10T05:43:31+08:00,D-1,D-1_EARLY,BUY,0.965,18.94,18.2771,usdcSize,0x7a866bad731f095582d806adca461cbfd2b882b6998628b98b1e4c4df72ca8d2,data/raw/trades.csv,186,0x7a866bad731f095582d806adca461cbfd2b882b6998628b98b1e4c4df72ca8d2,71.8411,71.8411,73.98,0.0,73.98,0.971088131927548,,0.955,0.01,-0.00818313953488381,PRICE_UP_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,92657797625147125461273103010909243912019569519816404081929598865097291214833,92657797625147125461273103010909243912019569519816404081929598865097291214833,4°C,exact,4.0,4.0,C,2026-02-09T22:51:13+00:00,2026-02-10T06:51:13+08:00,D-1,D-1_EARLY,BUY,0.02,15.92,0.3184,usdcSize,0x245724c896b8419c476642dd098b607074240215d054fd19e71477ef102de09a,data/raw/trades.csv,187,0x245724c896b8419c476642dd098b607074240215d054fd19e71477ef102de09a,72.1595,72.1595,89.9,0.0,89.9,0.8026640711902112,,0.965,-0.945,-0.9510881319275479,PRICE_DOWN_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,92657797625147125461273103010909243912019569519816404081929598865097291214833,92657797625147125461273103010909243912019569519816404081929598865097291214833,4°C,exact,4.0,4.0,C,2026-02-09T22:52:25+00:00,2026-02-10T06:52:25+08:00,D-1,D-1_EARLY,BUY,0.02,5.0,0.1,usdcSize,0x98b53c9e852981aaee227abe060a77a267616861d17424ea24918a4bf7559366,data/raw/trades.csv,188,0x98b53c9e852981aaee227abe060a77a267616861d17424ea24918a4bf7559366,72.25949999999999,72.25949999999999,94.9,0.0,94.9,0.7614278187565857,,0.02,0.0,-0.7826640711902112,PRICE_FLAT_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,92657797625147125461273103010909243912019569519816404081929598865097291214833,92657797625147125461273103010909243912019569519816404081929598865097291214833,4°C,exact,4.0,4.0,C,2026-02-09T22:52:41+00:00,2026-02-10T06:52:41+08:00,D-1,D-1_EARLY,BUY,0.02,5.0,0.1,usdcSize,0x687b35bf9ae762181dfcfb48a316b5c64f51839b0dcb93676434dfec418caf18,data/raw/trades.csv,189,0x687b35bf9ae762181dfcfb48a316b5c64f51839b0dcb93676434dfec418caf18,72.35949999999998,72.35949999999998,99.9,0.0,99.9,0.7243193193193191,,0.02,0.0,-0.7414278187565857,PRICE_FLAT_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,92657797625147125461273103010909243912019569519816404081929598865097291214833,92657797625147125461273103010909243912019569519816404081929598865097291214833,4°C,exact,4.0,4.0,C,2026-02-09T22:53:45+00:00,2026-02-10T06:53:45+08:00,D-1,D-1_EARLY,BUY,0.02,5.55,0.111,usdcSize,0x849398a26ddda3a408091d602500af22db0fbaaaa82f2b7685cd61a21c8c16ba,data/raw/trades.csv,190,0x849398a26ddda3a408091d602500af22db0fbaaaa82f2b7685cd61a21c8c16ba,72.47049999999999,72.47049999999999,105.45,0.0,105.45,0.6872498814604077,,0.02,0.0,-0.7043193193193191,PRICE_FLAT_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,92657797625147125461273103010909243912019569519816404081929598865097291214833,92657797625147125461273103010909243912019569519816404081929598865097291214833,4°C,exact,4.0,4.0,C,2026-02-10T00:50:17+00:00,2026-02-10T08:50:17+08:00,D-1,D-1_EARLY,BUY,0.02,5.54,0.1108,usdcSize,0x07b074084d0e1413262a4fbf21c829b1e91e87dc757ae357f8095828ff903b89,data/raw/trades.csv,191,0x07b074084d0e1413262a4fbf21c829b1e91e87dc757ae357f8095828ff903b89,72.58129999999998,72.58129999999998,110.99000000000001,0.0,110.99000000000001,0.6539444995044597,,0.02,0.0,-0.6672498814604076,PRICE_FLAT_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,92657797625147125461273103010909243912019569519816404081929598865097291214833,92657797625147125461273103010909243912019569519816404081929598865097291214833,4°C,exact,4.0,4.0,C,2026-02-10T01:10:29+00:00,2026-02-10T09:10:29+08:00,D-1,D-1_EARLY,BUY,0.02,7.02,0.1404,usdcSize,0xc644c6c09065b5fecd38203665b0ecc8b18e09157b6735980811081fe4da819c,data/raw/trades.csv,192,0xc644c6c09065b5fecd38203665b0ecc8b18e09157b6735980811081fe4da819c,72.72169999999998,72.72169999999998,118.01,0.0,118.01,0.6162333700533852,,0.02,0.0,-0.6339444995044596,PRICE_FLAT_ADD
2026-02-11__ankara__high,Ankara,2026-02-11,high,0xf3ffd43c1cf3a52119574d94fabb7a8aac36baa39b85ba9c146e2fea5bd68906,highest-temperature-in-ankara-on-february-11-2026,highest-temperature-in-ankara-on-february-11-2026-4c,92657797625147125461273103010909243912019569519816404081929598865097291214833,92657797625147125461273103010909243912019569519816404081929598865097291214833,4°C,exact,4.0,4.0,C,2026-02-10T01:54:25+00:00,2026-02-10T09:54:25+08:00,D-1,D-1_EARLY,BUY,0.02,28.91,0.5782,usdcSize,0x82fb760f6dda05cb6aced84ee612fa10aa175e3cbaea76351f815313be7a37e3,data/raw/trades.csv,193,0x82fb760f6dda05cb6aced84ee612fa10aa175e3cbaea76351f815313be7a37e3,73.29989999999998,73.29989999999998,146.92000000000002,0.0,146.92000000000002,0.49891029131500114,,0.02,0.0,-0.5962333700533852,PRICE_FLAT_ADD
