event_key,city,weather_date_local,weather_metric,condition_id,event_slug,slug,token_id,asset,temperature_bucket,bucket_kind,bucket_low,bucket_high,unit,public_record_timestamp_utc,public_record_timestamp_cst,relative_day,time_phase,side,price,shares,trade_usd,trade_usd_source,transaction_hash,source_file,source_row_number,raw_transaction_hash,cumulative_buy_usd_event,cumulative_buy_usd_bucket,cumulative_buy_shares_bucket,cumulative_sell_shares_bucket,remaining_shares_bucket,weighted_average_buy_price_bucket,weighted_average_sell_price_bucket,previous_buy_price_bucket,price_change_vs_previous_buy,price_change_vs_pretrade_weighted_average_cost,add_action_classification
2026-04-17__beijing__high,Beijing,2026-04-17,high,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,7328057259970162614349489064923128908712327544826427788548166345001982631804,22°C,exact,22.0,22.0,C,2026-04-17T07:09:58+00:00,2026-04-17T15:09:58+08:00,D0,D0_LATE,BUY,0.468,23.67,11.7,usdcSize,0x2be74d33b2e16ef00ed9bfc45daf1aecd51872560e37c19b09d67b9e767ae71f,data/raw/trades.csv,7056,0x2be74d33b2e16ef00ed9bfc45daf1aecd51872560e37c19b09d67b9e767ae71f,11.7,11.7,23.67,0.0,23.67,0.494296577946768,,,,,NEW_BUCKET_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:24+00:00,2026-04-17T15:11:24+08:00,D0,D0_LATE,BUY,0.3,4.7,1.41,usdcSize,0x612f5123d3200bf908a0196405e9b348d75af5b863a6c4137143bbae555ec421,data/raw/trades.csv,7058,0x612f5123d3200bf908a0196405e9b348d75af5b863a6c4137143bbae555ec421,13.11,1.41,4.7,0.0,4.7,0.3,,,,,NEW_BUCKET_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:30+00:00,2026-04-17T15:11:30+08:00,D0,D0_LATE,BUY,0.3,3.79,1.137,usdcSize,0x33556f94adad1ebe75784cb9bae228e5e70674441285d1d06805d8f289c3317b,data/raw/trades.csv,7059,0x33556f94adad1ebe75784cb9bae228e5e70674441285d1d06805d8f289c3317b,14.247,2.5469999999999997,8.49,0.0,8.49,0.29999999999999993,,0.3,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:30+00:00,2026-04-17T15:11:30+08:00,D0,D0_LATE,BUY,0.3,5.0,1.5,usdcSize,0x3a82125a97e2208ec1961e2549997e60b59031abfa7d8ffdb3978048a7e07a42,data/raw/trades.csv,7060,0x3a82125a97e2208ec1961e2549997e60b59031abfa7d8ffdb3978048a7e07a42,15.747,4.047,13.49,0.0,13.49,0.3,,0.3,0.0,5.551115123125783e-17,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:38+00:00,2026-04-17T15:11:38+08:00,D0,D0_LATE,BUY,0.3,5.0,1.5,usdcSize,0x098b52f952f16a932da8ea6bddc6a0ce2731eaf543dbab6e9f2a808b138996e0,data/raw/trades.csv,7061,0x098b52f952f16a932da8ea6bddc6a0ce2731eaf543dbab6e9f2a808b138996e0,17.247,5.547,18.490000000000002,0.0,18.490000000000002,0.29999999999999993,,0.3,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:38+00:00,2026-04-17T15:11:38+08:00,D0,D0_LATE,BUY,0.3,5.0,1.5,usdcSize,0x1e1d9d80f90d7b1f67c4d32285b24251c152b0209cb4be24b2711c63ef58a74e,data/raw/trades.csv,7062,0x1e1d9d80f90d7b1f67c4d32285b24251c152b0209cb4be24b2711c63ef58a74e,18.747,7.047,23.490000000000002,0.0,23.490000000000002,0.3,,0.3,0.0,5.551115123125783e-17,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:38+00:00,2026-04-17T15:11:38+08:00,D0,D0_LATE,BUY,0.3,4.7,1.41,usdcSize,0x9d426f455e724b979432f0a4152990fe8dea7beb06081fea1d9357b9e6e1fe77,data/raw/trades.csv,7063,0x9d426f455e724b979432f0a4152990fe8dea7beb06081fea1d9357b9e6e1fe77,20.157,8.456999999999999,28.19,0.0,28.19,0.29999999999999993,,0.3,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:50+00:00,2026-04-17T15:11:50+08:00,D0,D0_LATE,BUY,0.3,5.0,1.5,usdcSize,0x1c48a271ed8f7fe2dce30e0bca0685821186f4d12642f715f59f1b896c663f0c,data/raw/trades.csv,7064,0x1c48a271ed8f7fe2dce30e0bca0685821186f4d12642f715f59f1b896c663f0c,21.657,9.956999999999999,33.19,0.0,33.19,0.3,,0.3,0.0,5.551115123125783e-17,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:50+00:00,2026-04-17T15:11:50+08:00,D0,D0_LATE,BUY,0.3,2.03,0.609,usdcSize,0x21d20d4f64529704d06a9e18a92860c0ba7baf5c5ddaf9072658e58c20c5e0c7,data/raw/trades.csv,7065,0x21d20d4f64529704d06a9e18a92860c0ba7baf5c5ddaf9072658e58c20c5e0c7,22.266,10.565999999999999,35.22,0.0,35.22,0.3,,0.3,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:56+00:00,2026-04-17T15:11:56+08:00,D0,D0_LATE,BUY,0.3,5.0,1.5,usdcSize,0x6b06bc987ffbb854113962a065015f2b05418d481b8becc4090cfaacb4e5cfaf,data/raw/trades.csv,7066,0x6b06bc987ffbb854113962a065015f2b05418d481b8becc4090cfaacb4e5cfaf,23.766,12.065999999999999,40.22,0.0,40.22,0.3,,0.3,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:11:56+00:00,2026-04-17T15:11:56+08:00,D0,D0_LATE,BUY,0.3,4.7,1.41,usdcSize,0xd8e84f40794c1dec9c22765a361623425fd0393c079d8afe1616d67de6b6ae4d,data/raw/trades.csv,7067,0xd8e84f40794c1dec9c22765a361623425fd0393c079d8afe1616d67de6b6ae4d,25.176,13.475999999999999,44.92,0.0,44.92,0.3,,0.3,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:12:04+00:00,2026-04-17T15:12:04+08:00,D0,D0_LATE,BUY,0.3,6.0,1.8,usdcSize,0x5aacc1db38817e5e32adf3c0280d3eb308110276100775d84206d51c25e3ab5f,data/raw/trades.csv,7068,0x5aacc1db38817e5e32adf3c0280d3eb308110276100775d84206d51c25e3ab5f,26.976,15.276,50.92,0.0,50.92,0.3,,0.3,0.0,0.0,PRICE_FLAT_ADD
