event_key,city,weather_date_local,weather_metric,condition_id,event_slug,slug,token_id,asset,temperature_bucket,bucket_kind,bucket_low,bucket_high,unit,public_record_timestamp_utc,public_record_timestamp_cst,relative_day,time_phase,side,price,shares,trade_usd,trade_usd_source,transaction_hash,source_file,source_row_number,raw_transaction_hash,cumulative_buy_usd_event,cumulative_buy_usd_bucket,cumulative_buy_shares_bucket,cumulative_sell_shares_bucket,remaining_shares_bucket,weighted_average_buy_price_bucket,weighted_average_sell_price_bucket,previous_buy_price_bucket,price_change_vs_previous_buy,price_change_vs_pretrade_weighted_average_cost,add_action_classification
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x71a85610ffb98f0e94d4b20e8c0fca4f9ea8ddf6b5ae410d8366078357f5f575,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-15c,68359757973816942876733058231840460721552432189487440828414564799005249661621,68359757973816942876733058231840460721552432189487440828414564799005249661621,15°C,exact,15.0,15.0,C,2026-04-21T10:09:52+00:00,2026-04-21T18:09:52+08:00,D-1,D-1_EVENING,BUY,0.18,97.1703,19.053,usdcSize,0x3b0a6426d8d251d8ece69fb974576606124f5426e06278c0dfa15d389b417129,data/raw/trades.csv,7926,0x3b0a6426d8d251d8ece69fb974576606124f5426e06278c0dfa15d389b417129,19.053,19.053,97.1703,0.0,97.1703,0.19607843137254904,,,,,NEW_BUCKET_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T02:04:50+00:00,2026-04-22T10:04:50+08:00,D0,D0_WARMING_EARLY,BUY,0.13,2.9,0.377,usdcSize,0xbc2595757367f6925bda27647d1325f147b82a6703db52c861e90134057f731c,data/raw/trades.csv,8092,0xbc2595757367f6925bda27647d1325f147b82a6703db52c861e90134057f731c,19.43,0.377,2.9,0.0,2.9,0.13,,,,,NEW_BUCKET_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T02:11:08+00:00,2026-04-22T10:11:08+08:00,D0,D0_WARMING_EARLY,BUY,0.16,0.4,0.064,usdcSize,0xb685909e8fb360ea833250d1c6527a7703e2b00ebee104ccd50742b577346b79,data/raw/trades.csv,8093,0xb685909e8fb360ea833250d1c6527a7703e2b00ebee104ccd50742b577346b79,19.494,0.441,3.3,0.0,3.3,0.13363636363636364,,0.13,0.03,0.03,PRICE_UP_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T02:12:46+00:00,2026-04-22T10:12:46+08:00,D0,D0_WARMING_EARLY,BUY,0.16,99.6,15.936,usdcSize,0x351706de5a1d625c779a274a8f07ac4ff6477bde95340a62c0e71943fdf017f1,data/raw/trades.csv,8094,0x351706de5a1d625c779a274a8f07ac4ff6477bde95340a62c0e71943fdf017f1,35.43,16.377,102.89999999999999,0.0,102.89999999999999,0.1591545189504373,,0.16,0.0,0.026363636363636367,PRICE_FLAT_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T02:28:18+00:00,2026-04-22T10:28:18+08:00,D0,D0_WARMING_EARLY,BUY,0.107,13.6605,1.605,usdcSize,0xcd4df5000f7fdb08d3acaa448c01729b6da907c8962b2e04384874474894a71b,data/raw/trades.csv,8095,0xcd4df5000f7fdb08d3acaa448c01729b6da907c8962b2e04384874474894a71b,37.035,17.982,116.56049999999999,0.0,116.56049999999999,0.15427181592391934,,0.16,-0.053,-0.05215451895043731,PRICE_DOWN_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T02:28:50+00:00,2026-04-22T10:28:50+08:00,D0,D0_WARMING_EARLY,BUY,0.098017,90.98018,9.8017,usdcSize,0x29b4f085ce3d143b4ff0054f1156f8e872eaa63f4ee095b20fd5785b07f8ba0f,data/raw/trades.csv,8096,0x29b4f085ce3d143b4ff0054f1156f8e872eaa63f4ee095b20fd5785b07f8ba0f,46.83669999999999,27.7837,207.54068,0.0,207.54068,0.13387110420954582,,0.107,-0.008983,-0.05625481592391933,PRICE_FLAT_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T02:57:40+00:00,2026-04-22T10:57:40+08:00,D0,D0_WARMING_EARLY,BUY,0.136,100.0,13.6,usdcSize,0x225b84693450a22ac09521da2caea7874834e0e73bd1b77e641d0187af16a70e,data/raw/trades.csv,8100,0x225b84693450a22ac09521da2caea7874834e0e73bd1b77e641d0187af16a70e,60.436699999999995,41.3837,307.54068,0.0,307.54068,0.13456333646657737,,0.098017,0.037983,0.002128895790454194,PRICE_UP_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T03:02:24+00:00,2026-04-22T11:02:24+08:00,D0,D0_WARMING_EARLY,BUY,0.04,100.0,4.0,usdcSize,0x9f933fdbc2a490f5e0f538a660f3f8c3fe60437e22196fcdf065cd34ccb1ff57,data/raw/trades.csv,8102,0x9f933fdbc2a490f5e0f538a660f3f8c3fe60437e22196fcdf065cd34ccb1ff57,64.4367,45.3837,407.54068,0.0,407.54068,0.11135992608148958,,0.136,-0.096,-0.09456333646657736,PRICE_DOWN_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T03:05:36+00:00,2026-04-22T11:05:36+08:00,D0,D0_WARMING_EARLY,BUY,0.017,87.13,1.48121,usdcSize,0xd3c2b78ada3431dd180fddc90c239c267110c4eb56d1a2852975d693166c71bf,data/raw/trades.csv,8103,0xd3c2b78ada3431dd180fddc90c239c267110c4eb56d1a2852975d693166c71bf,65.91791,46.864909999999995,494.67068,0.0,494.67068,0.0947396154548719,,0.04,-0.023,-0.09435992608148958,PRICE_DOWN_ADD
2026-04-22__seoul__high,Seoul,2026-04-22,high,0x84650e76d1746fe5f3de87cfdc37f6811cd909a3747e6e465b7020f01e3449ee,highest-temperature-in-seoul-on-april-22-2026,highest-temperature-in-seoul-on-april-22-2026-14c,97053750902183823938384052155708233523189599297828288982215450910630619462598,97053750902183823938384052155708233523189599297828288982215450910630619462598,14°C,exact,14.0,14.0,C,2026-04-22T03:07:06+00:00,2026-04-22T11:07:06+08:00,D0,D0_WARMING_EARLY,BUY,0.021,100.0,2.1,usdcSize,0x3b576fe2ecdf12cab83161968891bd3a98b0978e1a14132b27e624cf70b1b022,data/raw/trades.csv,8104,0x3b576fe2ecdf12cab83161968891bd3a98b0978e1a14132b27e624cf70b1b022,68.01791,48.964909999999996,594.67068,0.0,594.67068,0.08233953959189648,,0.017,0.004,-0.0737396154548719,PRICE_FLAT_ADD
