wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,high_sell_fill_count,asset_exit_classification,all_buy_shares,all_sell_shares,sold_share_ratio,buy_usd_weighted_price,sell_usd_weighted_price
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-04,0x76ce847af306166d9f5a3a5ce0e74c03cdc45ad54d8cf9b050023ef60eda1310,48152388605161274350430977656210792548627271709395788457861185532635731568941,YES,26°C,highest-temperature-in-beijing-on-may-4-2026,3,ALL_PARTIAL,155.92000000000002,63.7,0.40854284248332473,0.7148552462801435,0.95
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-06,0x524ea73af3e8aa39825b9ea89501fa3c6411ae185ed342ce7f7b357d0321dc09,98294956512414206833583932065542207951884876594305456681972083705186473652668,YES,26°C,highest-temperature-in-beijing-on-may-6-2026,1,ALL_PARTIAL,462.103332,30.85,0.06675996008615666,0.9547994841119215,0.985
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-28,0x9fc45be48faa072bf58296160d779c240b5500c6d98a72d9878556a19340734b,4942643844524716148816329188693993509464945823647287717161401841702007897438,YES,30°C,highest-temperature-in-beijing-on-may-28-2026,1,HAS_NEAR_FULL,3.653683,3.65,0.9989919760417091,0.3020749200190603,0.998950684931507
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-19,0xbe30f2934595fc69c437273b3699a60d04e3a82cb30aa5ac511d3cc83917523c,74991365488587980414962624211547614441596541191800886044801408882069272670394,YES,33°C,highest-temperature-in-beijing-on-july-19-2026,1,HAS_NEAR_FULL,171.802001,171.79999999999998,0.9999883528713964,0.2746126862631827,0.5580873108265425
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-24,0xec06fc8f4aaa6a0b4ce649b8c14e73a997d7a55954b0ab6bd388eccaf86911fa,41937979921939746063013313821987649655877892060362151976491071229100142872255,YES,32°C,highest-temperature-in-beijing-on-july-24-2026,1,HAS_NEAR_FULL,1366.46,1366.459147,0.9999993757592611,0.2528650527640765,0.6348077290890278
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-26,0x0c0c4efe1d24b1cf1284f1af27180caf309cbfedeac75ddb0ad9b220643d55ac,12956496639408126329398760430283940488064473596957081806926551540804789737754,YES,34°C,highest-temperature-in-beijing-on-july-26-2026,1,HAS_NEAR_FULL,1038.1025260000001,1038.092757,0.9999905895614782,0.18681993265855898,0.9573074778711709
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-28,0xba0edac5d95406929625d66be0ed15d0c2d6111cf069a552e56ddab3e1a796c6,30819121435878052668874306290558932744967586560672611169814775633670161538933,YES,35°C,highest-temperature-in-beijing-on-july-28-2026,1,HAS_NEAR_FULL,496.734076,496.73,0.9999917944022829,0.3868012952668864,0.999
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-30,0x0db68389519376349c25b967bbff44260bba8bc1241554748c21c93ddb913026,84614087306496951078700280080059316405378136245878187028222987614702007521463,YES,35°C,highest-temperature-in-beijing-on-july-30-2026,2,MIXED_EXIT_PATTERN,89.225804,89.225788,0.9999998206796769,0.3800000053796097,0.8164353673177983
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-08-01,0xbd82bbf250a42f9a6a6f35ba61069462ef3c4f29469a63a88a7ac3b7eb172846,16965443463146400687539218410880436586787279682503322483556606534661067919109,YES,36°C,highest-temperature-in-beijing-on-august-1-2026,1,HAS_NEAR_FULL,337.548128,337.53999999999996,0.9999759204708134,0.13167406456480185,0.2510462463708005
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-08-03,0x2805b7368be0ad9bec03edd2675b4b6fed9ca4a6eae4f36308e763ec61eda588,106287288353752676541590878526536079604722728259585654624855164693638610432596,YES,36°C,highest-temperature-in-beijing-on-august-3-2026,1,HAS_NEAR_FULL,229.658277,229.65,0.9999639594962214,0.029604415259111255,0.999
