wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,sell_timestamp,sell_price,sell_shares,cumulative_buy_shares_before,cumulative_sell_shares_before,observed_net_inventory_before,sell_to_observed_inventory_ratio,observed_exit_classification,has_prior_any_buy,has_prior_low_0_30_buy,first_any_buy_to_this_high_sell_seconds,first_low_buy_to_this_high_sell_seconds
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-04,0x76ce847af306166d9f5a3a5ce0e74c03cdc45ad54d8cf9b050023ef60eda1310,48152388605161274350430977656210792548627271709395788457861185532635731568941,YES,26°C,highest-temperature-in-beijing-on-may-4-2026,2026-05-04T16:01:22+08:00,0.95,37.7,68.7,0.0,68.7,0.5487627365356623,PARTIAL_OBSERVED_EXIT,True,False,3732,
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-04,0x76ce847af306166d9f5a3a5ce0e74c03cdc45ad54d8cf9b050023ef60eda1310,48152388605161274350430977656210792548627271709395788457861185532635731568941,YES,26°C,highest-temperature-in-beijing-on-may-4-2026,2026-05-04T16:01:26+08:00,0.95,11.24,68.7,37.7,31.0,0.36258064516129035,PARTIAL_OBSERVED_EXIT,True,False,3736,
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-04,0x76ce847af306166d9f5a3a5ce0e74c03cdc45ad54d8cf9b050023ef60eda1310,48152388605161274350430977656210792548627271709395788457861185532635731568941,YES,26°C,highest-temperature-in-beijing-on-may-4-2026,2026-05-04T16:02:18+08:00,0.95,14.76,68.7,48.940000000000005,19.759999999999998,0.7469635627530365,PARTIAL_OBSERVED_EXIT,True,False,3788,
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-06,0x524ea73af3e8aa39825b9ea89501fa3c6411ae185ed342ce7f7b357d0321dc09,98294956512414206833583932065542207951884876594305456681972083705186473652668,YES,26°C,highest-temperature-in-beijing-on-may-6-2026,2026-05-06T14:43:02+08:00,0.985,30.85,365.63333199999994,0.0,365.63333199999994,0.08437414562630742,PARTIAL_OBSERVED_EXIT,True,False,5560,
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-28,0x9fc45be48faa072bf58296160d779c240b5500c6d98a72d9878556a19340734b,4942643844524716148816329188693993509464945823647287717161401841702007897438,YES,30°C,highest-temperature-in-beijing-on-may-28-2026,2026-05-28T23:59:00+08:00,0.999,3.65,3.653683,0.0,3.653683,0.9989919760417091,NEAR_FULL_OBSERVED_EXIT,True,True,146445,146445
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-19,0xbe30f2934595fc69c437273b3699a60d04e3a82cb30aa5ac511d3cc83917523c,74991365488587980414962624211547614441596541191800886044801408882069272670394,YES,33°C,highest-temperature-in-beijing-on-july-19-2026,2026-07-19T17:24:58+08:00,0.999,70.6,171.802001,101.19999999999999,70.602001,0.9999716580270861,NEAR_FULL_OBSERVED_EXIT,True,True,135573,135573
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-24,0xec06fc8f4aaa6a0b4ce649b8c14e73a997d7a55954b0ab6bd388eccaf86911fa,41937979921939746063013313821987649655877892060362151976491071229100142872255,YES,32°C,highest-temperature-in-beijing-on-july-24-2026,2026-07-24T18:08:21+08:00,0.999,685.96,1366.4600000000005,680.4991470000002,685.9608530000003,0.9999987564888048,NEAR_FULL_OBSERVED_EXIT,True,True,160976,160976
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-26,0x0c0c4efe1d24b1cf1284f1af27180caf309cbfedeac75ddb0ad9b220643d55ac,12956496639408126329398760430283940488064473596957081806926551540804789737754,YES,34°C,highest-temperature-in-beijing-on-july-26-2026,2026-07-26T16:33:57+08:00,0.999,980.04,1038.102526,58.052757,980.0497689999999,0.999990032138868,NEAR_FULL_OBSERVED_EXIT,True,True,184634,184634
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-28,0xba0edac5d95406929625d66be0ed15d0c2d6111cf069a552e56ddab3e1a796c6,30819121435878052668874306290558932744967586560672611169814775633670161538933,YES,35°C,highest-temperature-in-beijing-on-july-28-2026,2026-07-28T17:50:28+08:00,0.999,496.73,496.73407599999996,0.0,496.73407599999996,0.999991794402283,NEAR_FULL_OBSERVED_EXIT,True,False,99807,
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-07-30,0x0db68389519376349c25b967bbff44260bba8bc1241554748c21c93ddb913026,84614087306496951078700280080059316405378136245878187028222987614702007521463,YES,35°C,highest-temperature-in-beijing-on-july-30-2026,2026-07-30T18:04:21+08:00,0.999,5.73,89.225804,26.315788,62.910016,0.09108247564267033,PARTIAL_OBSERVED_EXIT,True,False,54891,
